Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/11;14:48:38;4017;12;11;11;11;12
1;2023/10/11;14:48:48;4017;12;11;11;11;12
2;2023/10/11;14:48:58;4017;12;11;11;11;12
3;2023/10/11;14:49:08;4017;12;11;11;11;12
4;2023/10/11;14:49:18;4017;12;11;11;11;12
5;2023/10/11;14:49:28;4017;12;11;11;11;12
6;2023/10/11;14:49:38;4017;12;11;11;11;12
7;2023/10/11;14:49:48;4017;12;11;11;11;12
8;2023/10/11;14:49:58;4017;12;11;11;11;12
9;2023/10/11;14:50:08;4017;12;11;11;11;12
10;2023/10/11;14:50:18;4017;12;11;11;11;12
11;2023/10/11;14:50:28;4017;12;11;11;11;12
12;2023/10/11;14:50:38;4017;12;11;11;11;12
13;2023/10/11;14:50:48;4017;12;11;11;11;12
14;2023/10/11;14:50:58;4017;12;11;11;11;12
15;2023/10/11;14:51:08;4017;12;11;11;11;12
16;2023/10/11;14:51:18;4017;12;11;11;11;12
17;2023/10/11;14:51:28;4017;12;11;11;11;12
18;2023/10/11;14:51:38;4017;12;11;11;11;12
19;2023/10/11;14:51:48;4017;12;11;11;11;12
20;2023/10/11;14:51:58;4017;12;11;11;11;12
21;2023/10/11;14:52:08;4017;12;11;11;11;12
22;2023/10/11;14:52:18;4017;12;11;11;11;12
23;2023/10/11;14:52:28;4017;12;11;11;11;12
24;2023/10/11;14:52:38;4017;12;11;11;11;12
25;2023/10/11;14:52:48;4017;12;11;11;11;12
26;2023/10/11;14:52:58;4017;12;11;11;11;12
27;2023/10/11;14:53:08;4017;12;11;11;11;12
28;2023/10/11;14:53:18;4017;12;11;11;11;12
29;2023/10/11;14:53:28;4017;12;11;11;11;12
30;2023/10/11;14:53:38;4017;12;11;11;11;12
31;2023/10/11;14:53:48;4017;12;11;11;11;12
32;2023/10/11;14:53:58;4017;12;11;11;11;12
33;2023/10/11;14:54:08;4017;12;11;11;11;12
34;2023/10/11;14:54:18;4017;12;11;11;11;12
35;2023/10/11;14:54:28;4017;12;11;11;11;12
36;2023/10/11;14:54:38;4017;12;11;11;11;12
37;2023/10/11;14:54:48;4017;12;11;11;11;12
38;2023/10/11;14:54:58;4017;12;11;11;11;12
