Line; Date; Time; T INA SPECTRO (degC); T INA OSCAR (degC); T INA MOTORS (degC); T INA BATT (degC); T INA DC_BUS (degC); T INA Q7 (degC); T INA 5V (degC); T INA 3V3 (degC)
39; 2023/10/10; 16:46:02; 27,8359375; 27,546875; 30,671875; 30,53125; 30,8515625; 30,578125; 30,78125; 27,2578125
40; 2023/10/10; 16:46:12; 27,8984375; 27,6328125; 30,7890625; 30,640625; 30,96875; 30,6640625; 30,90625; 27,3515625
41; 2023/10/10; 16:46:22; 27,96875; 27,734375; 30,8828125; 30,75; 31,0859375; 30,796875; 31,0234375; 27,4140625
42; 2023/10/10; 16:46:32; 28,0234375; 27,7265625; 30,890625; 30,8359375; 31,15625; 30,8671875; 31,046875; 27,4609375
43; 2023/10/10; 16:46:42; 28,0703125; 27,7109375; 30,9375; 30,90625; 31,2109375; 30,953125; 31,1171875; 27,4921875
44; 2023/10/10; 16:46:52; 28,078125; 27,703125; 30,96875; 30,9765625; 31,2578125; 30,9921875; 31,1328125; 27,5
45; 2023/10/10; 16:47:02; 28,1015625; 27,71875; 31,0234375; 31,046875; 31,3046875; 31,0390625; 31,1875; 27,5234375
46; 2023/10/10; 16:47:12; 28,15625; 27,734375; 31,109375; 31,109375; 31,34375; 31,1171875; 31,2421875; 27,546875
47; 2023/10/10; 16:47:22; 28,1484375; 27,6953125; 31,078125; 31,140625; 31,3828125; 31,1328125; 31,2890625; 27,5546875
48; 2023/10/10; 16:47:32; 28,1640625; 27,671875; 31,125; 31,1640625; 31,4296875; 31,15625; 31,28125; 27,546875
49; 2023/10/10; 16:47:42; 28,890625; 28,1875; 31,171875; 31,234375; 31,5078125; 31,21875; 31,3828125; 27,828125
50; 2023/10/10; 16:47:52; 29,578125; 29,1015625; 31,3359375; 31,3046875; 31,6875; 31,390625; 31,53125; 28,453125
51; 2023/10/10; 16:48:02; 30,109375; 29,7421875; 31,5234375; 31,5078125; 31,8671875; 31,5703125; 31,7421875; 28,984375
52; 2023/10/10; 16:48:12; 30,6328125; 30,3828125; 31,7421875; 31,6875; 32,0703125; 31,7734375; 31,9453125; 29,4140625
53; 2023/10/10; 16:48:22; 31,03125; 30,875; 31,9453125; 31,8828125; 32,2578125; 31,9609375; 32,140625; 29,875
54; 2023/10/10; 16:48:32; 31,3671875; 31,2890625; 32,1171875; 32,0546875; 32,46875; 32,1796875; 32,328125; 30,2734375
55; 2023/10/10; 16:48:42; 31,7265625; 31,734375; 32,3203125; 32,3125; 32,671875; 32,3671875; 32,546875; 30,6015625
56; 2023/10/10; 16:48:52; 32,03125; 32,0703125; 32,5078125; 32,4921875; 32,8828125; 32,5703125; 32,765625; 30,9453125
57; 2023/10/10; 16:49:02; 32,328125; 32,3984375; 32,703125; 32,6875; 33,109375; 32,7890625; 32,96875; 31,21875
58; 2023/10/10; 16:49:12; 32,59375; 32,6875; 32,921875; 32,921875; 33,3046875; 32,9921875; 33,15625; 31,5390625
59; 2023/10/10; 16:49:22; 32,8359375; 33,03125; 33,1171875; 33,09375; 33,46875; 33,1796875; 33,3359375; 31,8046875
60; 2023/10/10; 16:49:32; 33,09375; 33,2734375; 33,2734375; 33,265625; 33,6328125; 33,375; 33,4921875; 32,0234375
61; 2023/10/10; 16:49:42; 33,3125; 33,546875; 33,421875; 33,421875; 33,828125; 33,515625; 33,6640625; 32,25
62; 2023/10/10; 16:49:52; 33,5078125; 33,7578125; 33,5703125; 33,578125; 33,96875; 33,65625; 33,859375; 32,4453125
63; 2023/10/10; 16:50:02; 33,7578125; 33,9765625; 33,734375; 33,7578125; 34,171875; 33,84375; 33,9921875; 32,65625
64; 2023/10/10; 16:50:12; 33,921875; 34,203125; 33,875; 33,9375; 34,3359375; 33,9921875; 34,125; 32,8984375
65; 2023/10/10; 16:50:22; 34,0703125; 34,390625; 34,046875; 34,0703125; 34,4765625; 34,1796875; 34,328125; 33,078125
66; 2023/10/10; 16:50:32; 34,28125; 34,5625; 34,1796875; 34,25; 34,625; 34,328125; 34,46875; 33,25
67; 2023/10/10; 16:50:42; 34,4765625; 34,6953125; 34,3359375; 34,3828125; 34,75; 34,453125; 34,6015625; 33,390625
68; 2023/10/10; 16:50:52; 34,6484375; 34,9296875; 34,484375; 34,5234375; 34,859375; 34,5859375; 34,734375; 33,546875
69; 2023/10/10; 16:51:02; 34,78125; 35,0390625; 34,6015625; 34,6484375; 35,0390625; 34,703125; 34,8359375; 33,71875
70; 2023/10/10; 16:51:12; 34,8828125; 35,1875; 34,7109375; 34,7421875; 35,15625; 34,8203125; 34,9921875; 33,8515625
71; 2023/10/10; 16:51:22; 35,0546875; 35,3125; 34,8046875; 34,90625; 35,265625; 34,96875; 35,0859375; 33,9921875
72; 2023/10/10; 16:51:32; 35,15625; 35,46875; 34,9375; 34,9765625; 35,3984375; 35,078125; 35,2109375; 34,1328125
73; 2023/10/10; 16:51:42; 35,3125; 35,640625; 35,0390625; 35,1328125; 35,5078125; 35,2109375; 35,34375; 34,28125
74; 2023/10/10; 16:51:52; 35,4140625; 35,7578125; 35,15625; 35,2421875; 35,6640625; 35,3125; 35,4609375; 34,40625
75; 2023/10/10; 16:52:02; 35,5390625; 35,8828125; 35,296875; 35,34375; 35,7578125; 35,4609375; 35,578125; 34,515625
76; 2023/10/10; 16:52:12; 35,703125; 35,984375; 35,3671875; 35,5; 35,8671875; 35,5859375; 35,703125; 34,625
77; 2023/10/10; 16:52:22; 35,796875; 36,0546875; 35,4921875; 35,609375; 35,9609375; 35,6796875; 35,8125; 34,734375
78; 2023/10/10; 16:52:32; 35,9296875; 36,203125; 35,6171875; 35,7109375; 36,0703125; 35,7890625; 35,921875; 34,859375
79; 2023/10/10; 16:52:42; 36,0234375; 36,2890625; 35,7109375; 35,8046875; 36,1484375; 35,875; 36,0078125; 34,9296875
80; 2023/10/10; 16:52:52; 36,1015625; 36,3984375; 35,8203125; 35,8984375; 36,25; 36,0; 36,1015625; 35,0390625
81; 2023/10/10; 16:53:02; 36,1875; 36,5; 35,9140625; 35,9921875; 36,359375; 36,0546875; 36,1953125; 35,125
82; 2023/10/10; 16:53:12; 36,2734375; 36,5859375; 36,0; 36,0625; 36,4609375; 36,140625; 36,296875; 35,2265625
83; 2023/10/10; 16:53:22; 36,40625; 36,6484375; 36,078125; 36,203125; 36,5546875; 36,2421875; 36,3359375; 35,3125
84; 2023/10/10; 16:53:32; 36,484375; 36,75; 36,1484375; 36,2578125; 36,6171875; 36,359375; 36,4453125; 35,375
85; 2023/10/10; 16:53:42; 36,5703125; 36,875; 36,21875; 36,359375; 36,7109375; 36,453125; 36,5625; 35,5078125
86; 2023/10/10; 16:53:52; 36,625; 36,9609375; 36,3046875; 36,4296875; 36,8203125; 36,515625; 36,6484375; 35,59375
87; 2023/10/10; 16:54:02; 36,734375; 37,0390625; 36,390625; 36,5078125; 36,8984375; 36,5859375; 36,6953125; 35,671875
88; 2023/10/10; 16:54:12; 36,8125; 37,109375; 36,484375; 36,5859375; 37,0; 36,6640625; 36,7734375; 35,75
89; 2023/10/10; 16:54:22; 36,90625; 37,1953125; 36,5859375; 36,671875; 37,0703125; 36,765625; 36,8515625; 35,8359375
90; 2023/10/10; 16:54:32; 37,0; 37,25; 36,640625; 36,7421875; 37,1640625; 36,875; 36,9609375; 35,90625
91; 2023/10/10; 16:54:42; 37,0546875; 37,328125; 36,703125; 36,859375; 37,2265625; 36,9375; 37,046875; 35,96875
92; 2023/10/10; 16:54:52; 37,1328125; 37,3671875; 36,7578125; 36,9375; 37,296875; 37,015625; 37,125; 36,0234375
93; 2023/10/10; 16:55:02; 37,21875; 37,4296875; 36,859375; 36,984375; 37,359375; 37,09375; 37,1953125; 36,078125
94; 2023/10/10; 16:55:12; 37,2890625; 37,5; 36,96875; 37,078125; 37,4296875; 37,1484375; 37,2734375; 36,1875
95; 2023/10/10; 16:55:22; 37,3359375; 37,5703125; 37,015625; 37,1328125; 37,4765625; 37,21875; 37,3359375; 36,21875
96; 2023/10/10; 16:55:32; 37,3984375; 37,6328125; 37,0859375; 37,2109375; 37,5703125; 37,265625; 37,3984375; 36,2734375
97; 2023/10/10; 16:55:42; 37,4609375; 37,6875; 37,1640625; 37,265625; 37,640625; 37,3359375; 37,4609375; 36,375
98; 2023/10/10; 16:55:52; 37,5078125; 37,75; 37,21875; 37,3359375; 37,671875; 37,421875; 37,5; 36,4296875
99; 2023/10/10; 16:56:02; 37,59375; 37,8359375; 37,296875; 37,390625; 37,734375; 37,46875; 37,59375; 36,4765625
100; 2023/10/10; 16:56:12; 37,6328125; 37,8828125; 37,34375; 37,453125; 37,8203125; 37,5; 37,6796875; 36,5390625
101; 2023/10/10; 16:56:22; 37,71875; 37,9375; 37,40625; 37,53125; 37,8828125; 37,6015625; 37,6953125; 36,59375
102; 2023/10/10; 16:56:32; 37,75; 37,9765625; 37,4453125; 37,5625; 37,9453125; 37,640625; 37,7421875; 36,640625
103; 2023/10/10; 16:56:42; 37,7890625; 38,03125; 37,515625; 37,6328125; 38,0078125; 37,7109375; 37,78125; 36,6796875
104; 2023/10/10; 16:56:52; 37,8828125; 38,1015625; 37,5234375; 37,6640625; 38,0625; 37,78125; 37,8828125; 36,75
105; 2023/10/10; 16:57:02; 37,9453125; 38,171875; 37,59375; 37,7265625; 38,1328125; 37,828125; 37,9375; 36,828125
106; 2023/10/10; 16:57:12; 37,9609375; 38,234375; 37,6640625; 37,8203125; 38,171875; 37,8671875; 38,0078125; 36,890625
107; 2023/10/10; 16:57:22; 38,0078125; 38,28125; 37,7421875; 37,875; 38,2421875; 37,9453125; 38,0546875; 36,9453125
108; 2023/10/10; 16:57:32; 38,0703125; 38,3203125; 37,75; 37,90625; 38,3046875; 37,9765625; 38,0859375; 36,984375
109; 2023/10/10; 16:57:42; 38,140625; 38,390625; 37,828125; 37,953125; 38,359375; 38,0546875; 38,1484375; 37,046875
110; 2023/10/10; 16:57:52; 38,1953125; 38,4296875; 37,8984375; 38,0; 38,4140625; 38,09375; 38,203125; 37,1015625
111; 2023/10/10; 16:58:02; 38,21875; 38,4765625; 37,921875; 38,046875; 38,46875; 38,171875; 38,2578125; 37,140625
112; 2023/10/10; 16:58:12; 38,2890625; 38,5234375; 38,0078125; 38,1484375; 38,5234375; 38,2265625; 38,34375; 37,1875
113; 2023/10/10; 16:58:22; 38,3515625; 38,5703125; 38,015625; 38,203125; 38,5703125; 38,28125; 38,3828125; 37,2421875
114; 2023/10/10; 16:58:32; 38,3984375; 38,6015625; 38,0703125; 38,2421875; 38,6171875; 38,3203125; 38,4375; 37,2734375
115; 2023/10/10; 16:58:42; 38,4609375; 38,6484375; 38,109375; 38,2890625; 38,671875; 38,375; 38,4765625; 37,328125
116; 2023/10/10; 16:58:52; 38,4921875; 38,6875; 38,203125; 38,3359375; 38,7109375; 38,421875; 38,53125; 37,3515625
117; 2023/10/10; 16:59:02; 38,53125; 38,71875; 38,234375; 38,390625; 38,7578125; 38,4765625; 38,5859375; 37,3984375
118; 2023/10/10; 16:59:12; 38,5703125; 38,734375; 38,3046875; 38,4296875; 38,796875; 38,5078125; 38,625; 37,40625
119; 2023/10/10; 16:59:22; 38,640625; 38,8125; 38,34375; 38,46875; 38,8359375; 38,5546875; 38,65625; 37,4609375
120; 2023/10/10; 16:59:32; 38,671875; 38,828125; 38,3828125; 38,5234375; 38,875; 38,59375; 38,703125; 37,53125
121; 2023/10/10; 16:59:42; 38,703125; 38,8671875; 38,421875; 38,5546875; 38,8984375; 38,625; 38,7421875; 37,546875
122; 2023/10/10; 16:59:52; 38,7265625; 38,90625; 38,46875; 38,609375; 38,9765625; 38,6796875; 38,78125; 37,6171875
123; 2023/10/10; 17:00:02; 38,7734375; 38,9296875; 38,515625; 38,6484375; 39,0078125; 38,734375; 38,8359375; 37,640625
124; 2023/10/10; 17:00:12; 38,8125; 38,9765625; 38,546875; 38,6796875; 39,046875; 38,765625; 38,859375; 37,6640625
125; 2023/10/10; 17:00:22; 38,8515625; 39,03125; 38,59375; 38,703125; 39,0703125; 38,78125; 38,8671875; 37,7265625
126; 2023/10/10; 17:00:32; 38,8671875; 39,0625; 38,6328125; 38,7578125; 39,125; 38,8359375; 38,921875; 37,765625
127; 2023/10/10; 17:00:42; 38,90625; 39,1171875; 38,6640625; 38,8046875; 39,1796875; 38,8671875; 38,9765625; 37,78125
128; 2023/10/10; 17:00:52; 38,9375; 39,140625; 38,703125; 38,84375; 39,21875; 38,9140625; 39,0; 37,828125
129; 2023/10/10; 17:01:02; 38,9765625; 39,140625; 38,734375; 38,859375; 39,234375; 38,9453125; 39,03125; 37,8515625
130; 2023/10/10; 17:01:12; 39,0234375; 39,1640625; 38,7578125; 38,875; 39,265625; 38,9921875; 39,0859375; 37,875
131; 2023/10/10; 17:01:22; 39,0703125; 39,171875; 38,7734375; 38,9140625; 39,2734375; 39,0; 39,0859375; 37,8984375
132; 2023/10/10; 17:01:32; 39,0390625; 39,1796875; 38,7890625; 38,921875; 39,3203125; 39,0078125; 39,09375; 37,9140625
133; 2023/10/10; 17:01:42; 39,09375; 39,234375; 38,8359375; 38,9375; 39,359375; 39,0390625; 39,171875; 37,953125
134; 2023/10/10; 17:01:52; 39,171875; 39,3046875; 38,859375; 38,9921875; 39,390625; 39,1015625; 39,203125; 38,0
135; 2023/10/10; 17:02:02; 39,171875; 39,34375; 38,890625; 39,03125; 39,4296875; 39,1171875; 39,234375; 38,0390625
