Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
70; 2023/10/10; 16:51:12; 27971; 53; 11730; 0; 15734; 58; 22; 6
71; 2023/10/10; 16:51:22; 29318; 53; 11718; 0; 16248; 58; 22; 6
72; 2023/10/10; 16:51:32; 28524; 57; 11723; 0; 16159; 60; 22; 6
73; 2023/10/10; 16:51:42; 28329; 63; 11735; 0; 16132; 62; 22; 6
74; 2023/10/10; 16:51:52; 28350; 63; 11757; 0; 15892; 57; 22; 6
75; 2023/10/10; 16:52:02; 27825; 63; 11733; 0; 15813; 60; 22; 6
76; 2023/10/10; 16:52:12; 29028; 63; 11727; 0; 16193; 57; 22; 6
77; 2023/10/10; 16:52:22; 29704; 63; 11721; 0; 16348; 56; 22; 6
78; 2023/10/10; 16:52:32; 29495; 63; 11710; 0; 16510; 60; 22; 6
79; 2023/10/10; 16:52:42; 27835; 63; 11742; 0; 15878; 60; 22; 6
80; 2023/10/10; 16:52:52; 28157; 63; 11721; 0; 15894; 59; 22; 6
81; 2023/10/10; 16:53:02; 28660; 63; 11717; 0; 16053; 58; 22; 6
82; 2023/10/10; 16:53:12; 29544; 63; 11744; 0; 16021; 49; 22; 6
83; 2023/10/10; 16:53:22; 29115; 63; 11703; 0; 16415; 62; 22; 6
84; 2023/10/10; 16:53:32; 28742; 63; 11712; 0; 16074; 58; 22; 6
85; 2023/10/10; 16:53:42; 28035; 63; 11748; 0; 15775; 58; 22; 6
86; 2023/10/10; 16:53:52; 27799; 63; 11734; 0; 15736; 59; 22; 6
87; 2023/10/10; 16:54:02; 29281; 63; 13681; 0; 16254; 54; 23; 6
88; 2023/10/10; 16:54:12; 29198; 63; 11726; 0; 16074; 52; 22; 6
89; 2023/10/10; 16:54:22; 27927; 63; 11720; 0; 15922; 59; 22; 6
90; 2023/10/10; 16:54:32; 27867; 63; 11742; 0; 15800; 59; 22; 6
91; 2023/10/10; 16:54:42; 28292; 63; 11729; 0; 15993; 60; 22; 6
92; 2023/10/10; 16:54:52; 28706; 63; 11717; 0; 16114; 58; 22; 6
93; 2023/10/10; 16:55:02; 28779; 63; 11710; 0; 16302; 65; 22; 6
94; 2023/10/10; 16:55:12; 28598; 63; 11720; 0; 16158; 62; 22; 6
95; 2023/10/10; 16:55:22; 28855; 63; 11729; 0; 16160; 58; 22; 6
96; 2023/10/10; 16:55:32; 28062; 63; 11715; 0; 15840; 60; 22; 6
97; 2023/10/10; 16:55:42; 28055; 53; 11739; 0; 15829; 61; 22; 6
98; 2023/10/10; 16:55:52; 28027; 53; 11759; 0; 15546; 54; 22; 6
99; 2023/10/10; 16:56:02; 28169; 53; 11767; 0; 15632; 52; 22; 6
100; 2023/10/10; 16:56:12; 29642; 63; 11686; 0; 16463; 59; 22; 6
101; 2023/10/10; 16:56:22; 28605; 63; 11712; 0; 16019; 58; 22; 6
102; 2023/10/10; 16:56:32; 28383; 63; 11715; 0; 15898; 57; 22; 6
103; 2023/10/10; 16:56:42; 28947; 63; 11726; 0; 15881; 51; 22; 6
104; 2023/10/10; 16:56:52; 29009; 63; 11731; 0; 16219; 60; 22; 6
105; 2023/10/10; 16:57:02; 28953; 64; 11702; 0; 16110; 59; 22; 6
106; 2023/10/10; 16:57:12; 29582; 63; 11688; 0; 16498; 61; 22; 6
107; 2023/10/10; 16:57:22; 28252; 63; 11729; 0; 15875; 58; 22; 6
108; 2023/10/10; 16:57:32; 28630; 63; 11745; 0; 15775; 50; 22; 6
109; 2023/10/10; 16:57:42; 28397; 63; 11734; 0; 15593; 53; 22; 6
110; 2023/10/10; 16:57:52; 28003; 63; 11718; 0; 15787; 58; 22; 6
111; 2023/10/10; 16:58:02; 28983; 63; 11709; 0; 16148; 58; 22; 6
112; 2023/10/10; 16:58:12; 29338; 63; 11711; 0; 16295; 59; 22; 6
113; 2023/10/10; 16:58:22; 27862; 63; 11755; 0; 15653; 56; 22; 6
114; 2023/10/10; 16:58:32; 28139; 63; 11731; 0; 16090; 63; 22; 6
115; 2023/10/10; 16:58:42; 28096; 63; 11719; 0; 15865; 61; 22; 6
116; 2023/10/10; 16:58:52; 27909; 63; 11722; 0; 15806; 61; 22; 6
117; 2023/10/10; 16:59:02; 28993; 63; 11701; 0; 16168; 59; 22; 6
118; 2023/10/10; 16:59:12; 29487; 63; 7846; 0; 15178; 49; 22; 6
119; 2023/10/10; 16:59:22; 27861; 63; 11730; 0; 15813; 60; 22; 6
120; 2023/10/10; 16:59:32; 29887; 63; 11697; 0; 16581; 61; 22; 6
121; 2023/10/10; 16:59:42; 28367; 63; 11711; 0; 15911; 58; 22; 6
122; 2023/10/10; 16:59:52; 28013; 63; 11723; 0; 15859; 59; 22; 6
123; 2023/10/10; 17:00:02; 28947; 63; 11710; 0; 16217; 61; 22; 6
124; 2023/10/10; 17:00:12; 28707; 63; 11747; 0; 15833; 56; 22; 6
125; 2023/10/10; 17:00:22; 28838; 63; 11728; 0; 15961; 57; 22; 6
126; 2023/10/10; 17:00:32; 29005; 53; 11698; 0; 16157; 60; 22; 6
127; 2023/10/10; 17:00:42; 27997; 53; 11706; 0; 15778; 61; 22; 6
128; 2023/10/10; 17:00:52; 28093; 53; 11709; 0; 15797; 58; 22; 6
