Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
0,2023/10/11,14:49:38,1515,2322,1648,2464,2633,2964,1997,1539,1540,1529,1181,1048575,62,23243,0,7600,64,62,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.69352869352869,28.51037851037851,28.449328449328448,28.998778998779,28.449328449328448,28.51037851037851,28.388278388278387,0.0,"34,1484375","33,8046875","37,453125","37,328125","37,6796875","37,3984375","37,609375","33,515625"
1,2023/10/11,14:59:48,1514,2322,1649,2465,2633,2963,1997,1538,1541,1529,1181,1048575,52,0,0,2528,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.63247863247863,28.449328449328448,28.32722832722833,28.876678876678877,28.32722832722833,28.266178266178265,28.32722832722833,0.0,"34,1640625","33,4453125","37,390625","37,421875","37,671875","37,4140625","37,5625","33,3984375"
2,2023/10/11,15:09:58,1515,2322,1649,2465,2633,2962,1997,1538,1540,1529,1182,1048575,62,0,0,2557,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.57142857142857,28.449328449328448,28.388278388278387,28.93772893772894,28.32722832722833,28.32722832722833,28.32722832722833,0.0,"34,140625","33,4296875","37,375","37,390625","37,6484375","37,4296875","37,5390625","33,390625"
3,2023/10/11,15:20:08,1515,2322,1649,2465,2633,2963,1997,1537,1540,1529,1182,1048575,63,0,0,2722,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.51037851037851,28.32722832722833,28.32722832722833,28.815628815628813,28.32722832722833,28.205128205128204,28.205128205128204,0.0,"34,125","33,375","37,359375","37,375","37,6171875","37,375","37,5","33,3671875"
4,2023/10/11,15:30:18,1515,2322,1649,2465,2633,2964,1997,1538,1540,1529,1181,0,62,0,0,2569,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,28.57142857142857,28.449328449328448,28.32722832722833,28.876678876678877,28.266178266178265,28.266178266178265,28.266178266178265,0.0,"34,0859375","33,375","37,328125","37,3515625","37,609375","37,3515625","37,4921875","33,3515625"
