Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/10;16:29:05;2007;5;4;5;5;5
1;2023/10/10;16:29:15;4018;11;11;11;11;11
2;2023/10/10;16:29:25;4016;12;11;11;11;11
3;2023/10/10;16:29:35;4018;11;11;11;11;11
4;2023/10/10;16:29:45;4017;11;11;11;11;11
5;2023/10/10;16:29:55;4018;11;10;11;11;11
6;2023/10/10;16:30:05;4017;11;11;11;11;11
7;2023/10/10;16:30:15;4017;11;11;11;11;11
8;2023/10/10;16:30:25;4018;11;11;11;11;11
9;2023/10/10;16:30:35;3994;11;11;11;11;11
10;2023/10/10;16:30:45;4015;11;11;11;11;11
11;2023/10/10;16:30:55;4016;11;11;11;11;11
12;2023/10/10;16:31:05;4017;11;11;11;11;11
13;2023/10/10;16:31:15;4018;12;11;11;11;11
14;2023/10/10;16:31:25;4017;11;11;11;11;11
15;2023/10/10;16:31:35;4018;11;11;11;11;11
16;2023/10/10;16:31:45;4002;12;11;11;11;11
17;2023/10/10;16:31:55;4019;11;11;11;11;11
18;2023/10/10;16:32:05;4018;12;11;11;11;11
19;2023/10/10;16:32:15;4017;11;11;11;11;11
20;2023/10/10;16:32:25;4017;11;11;11;11;11
21;2023/10/10;16:32:35;4017;12;11;11;11;11
22;2023/10/10;16:32:45;4017;11;11;11;11;11
23;2023/10/10;16:32:55;4017;11;11;11;11;11
24;2023/10/10;16:33:05;4017;11;11;11;11;11
25;2023/10/10;16:33:15;4017;12;11;11;11;11
26;2023/10/10;16:33:25;4018;11;11;11;11;11
27;2023/10/10;16:33:35;4019;11;11;11;11;11
28;2023/10/10;16:33:45;4016;12;11;11;11;11
29;2023/10/10;16:33:55;4019;12;11;11;11;11
30;2023/10/10;16:34:05;4018;12;11;11;11;11
31;2023/10/10;16:34:15;4017;12;11;11;11;12
32;2023/10/10;16:44:53;2008;5;5;5;5;5
33;2023/10/10;16:45:02;4018;11;11;11;11;11
34;2023/10/10;16:45:12;4018;12;11;11;11;11
35;2023/10/10;16:45:22;4017;11;11;11;11;11
36;2023/10/10;16:45:32;4017;11;11;11;11;11
37;2023/10/10;16:45:42;4018;11;11;11;11;11
38;2023/10/10;16:45:52;4016;12;11;11;11;11
39;2023/10/10;16:46:02;4017;11;11;11;11;11
40;2023/10/10;16:46:12;4018;11;11;11;11;11
41;2023/10/10;16:46:22;4000;11;11;11;11;11
42;2023/10/10;16:46:32;4017;12;11;11;11;11
43;2023/10/10;16:46:42;4017;11;11;11;11;11
44;2023/10/10;16:46:52;4019;12;11;11;11;11
45;2023/10/10;16:47:02;4017;12;11;11;11;12
46;2023/10/10;16:47:12;4018;12;11;11;11;11
47;2023/10/10;16:47:22;4018;11;11;11;11;11
48;2023/10/10;16:47:32;4002;12;11;11;11;11
49;2023/10/10;16:47:42;4018;11;11;11;11;11
50;2023/10/10;16:47:52;4017;12;11;11;11;11
51;2023/10/10;16:48:02;4017;12;11;11;11;11
52;2023/10/10;16:48:12;4017;12;11;11;11;12
53;2023/10/10;16:48:22;4018;12;11;11;11;12
54;2023/10/10;16:48:32;4018;12;11;11;11;11
55;2023/10/10;16:48:42;4019;12;11;11;11;11
56;2023/10/10;16:48:52;4018;12;11;11;11;11
57;2023/10/10;16:49:02;4018;12;11;11;11;11
58;2023/10/10;16:49:12;4017;11;11;11;11;11
59;2023/10/10;16:49:22;4019;12;11;11;11;12
60;2023/10/10;16:49:32;4016;12;11;11;11;11
61;2023/10/10;16:49:42;4016;12;11;11;11;11
62;2023/10/10;16:49:52;4018;11;11;11;11;11
63;2023/10/10;16:50:02;4016;12;11;11;11;11
64;2023/10/10;16:50:12;4017;12;11;11;11;12
65;2023/10/10;16:50:22;4018;12;11;11;11;11
66;2023/10/10;16:50:32;4015;12;11;11;11;11
67;2023/10/10;16:50:42;4018;12;11;11;11;12
68;2023/10/10;16:50:52;4015;12;11;11;11;12
69;2023/10/10;16:51:02;4015;12;11;11;11;12
70;2023/10/10;16:51:12;4016;12;11;11;11;11
71;2023/10/10;16:51:22;4017;12;11;11;11;11
72;2023/10/10;16:51:32;4017;12;11;11;11;12
73;2023/10/10;16:51:42;4015;12;11;11;11;11
74;2023/10/10;16:51:52;4016;12;11;11;11;11
75;2023/10/10;16:52:02;4016;12;11;11;11;11
76;2023/10/10;16:52:12;4018;12;11;11;11;12
77;2023/10/10;16:52:22;4016;12;11;11;11;11
78;2023/10/10;16:52:32;4017;12;11;11;11;11
79;2023/10/10;16:52:42;4015;12;11;11;11;12
80;2023/10/10;16:52:52;4018;12;11;11;11;12
81;2023/10/10;16:53:02;4017;12;11;11;11;12
82;2023/10/10;16:53:12;4018;12;11;11;11;11
83;2023/10/10;16:53:22;4017;12;11;11;11;11
84;2023/10/10;16:53:32;4017;12;11;11;11;12
85;2023/10/10;16:53:42;4016;12;11;11;11;12
86;2023/10/10;16:53:52;4017;12;11;11;11;11
87;2023/10/10;16:54:02;4016;12;11;11;11;12
