Line;Date;Time;PT0 (degC);PT1 (degC);PT2 (degC);PT3 (degC);PT4 (degC);PT5 (degC);PT6 (degC);PT7 (degC)
0;2023/10/11;00:00:03;434;431;429;437;430;430;430;0
1;2023/10/11;00:00:13;434;431;431;439;429;430;431;0
2;2023/10/11;00:00:23;434;431;430;439;429;430;431;0
3;2023/10/11;00:00:33;433;430;429;437;429;429;430;0
4;2023/10/11;00:00:43;433;430;429;437;429;429;429;0
5;2023/10/11;00:00:53;434;431;430;437;429;430;431;0
6;2023/10/11;00:01:03;433;430;429;437;428;427;430;0
7;2023/10/11;00:01:13;433;430;429;437;429;429;429;0
8;2023/10/11;00:01:23;434;430;429;437;429;427;429;0
9;2023/10/11;00:01:33;434;431;430;439;429;429;431;0
10;2023/10/11;00:01:43;433;431;428;437;429;429;431;0
11;2023/10/11;00:01:53;433;430;429;437;429;428;431;0
12;2023/10/11;00:02:03;434;431;430;439;429;428;431;0
13;2023/10/11;00:02:13;433;431;430;439;430;429;431;0
14;2023/10/11;00:02:23;434;431;430;439;429;429;431;0
15;2023/10/11;00:02:33;433;431;429;437;429;427;430;0
16;2023/10/11;00:02:43;434;431;430;439;430;430;431;0
17;2023/10/11;00:02:53;433;430;428;437;429;429;430;0
18;2023/10/11;00:03:03;434;431;430;437;430;429;431;0
19;2023/10/11;00:03:13;434;430;430;439;430;430;431;0
20;2023/10/11;00:03:23;434;431;429;439;429;430;431;0
21;2023/10/11;00:03:33;433;431;430;437;429;430;431;0
22;2023/10/11;00:03:43;433;431;430;437;430;430;431;0
23;2023/10/11;00:03:53;434;431;430;439;430;430;431;0
24;2023/10/11;00:04:03;434;431;430;437;430;430;431;0
25;2023/10/11;00:04:13;434;431;430;439;430;429;431;0
26;2023/10/11;00:04:23;434;431;430;437;430;429;431;0
27;2023/10/11;00:04:33;434;431;430;439;430;430;431;0
28;2023/10/11;00:04:43;433;431;430;437;430;429;431;0
29;2023/10/11;00:04:53;435;430;428;437;429;428;431;0
30;2023/10/11;00:05:03;433;431;430;439;430;430;431;0
31;2023/10/11;00:05:13;434;431;429;439;430;431;431;0
32;2023/10/11;00:05:23;433;431;430;439;430;430;431;0
33;2023/10/11;00:05:33;434;431;431;439;430;430;431;0
34;2023/10/11;00:05:43;434;431;430;439;430;430;431;0
35;2023/10/11;00:05:53;435;431;430;437;430;430;430;0
36;2023/10/11;00:06:03;435;431;430;439;431;430;431;0
37;2023/10/11;00:06:13;434;431;430;437;431;431;431;0
38;2023/10/11;00:06:23;434;431;430;437;430;430;431;0
39;2023/10/11;00:06:33;435;431;430;439;431;430;430;0
40;2023/10/11;00:06:43;433;430;429;437;429;429;431;0
41;2023/10/11;00:06:53;434;431;430;439;430;430;431;0
42;2023/10/11;00:07:03;433;430;429;437;429;429;430;0
43;2023/10/11;00:07:13;433;431;429;437;429;429;430;0
44;2023/10/11;00:07:23;434;431;430;437;430;430;431;0
45;2023/10/11;00:07:33;433;431;430;439;430;429;431;0
46;2023/10/11;00:07:43;434;431;430;439;431;430;431;0
47;2023/10/11;00:07:53;434;431;430;439;431;430;431;0
48;2023/10/11;00:08:03;435;431;430;437;430;430;431;0
49;2023/10/11;00:08:13;434;431;431;437;430;431;431;0
50;2023/10/11;00:08:23;433;431;429;437;429;429;430;0
51;2023/10/11;00:08:33;433;431;429;437;429;429;430;0
52;2023/10/11;00:08:43;433;431;429;437;429;429;430;0
53;2023/10/11;00:08:53;435;431;430;439;431;431;431;0
54;2023/10/11;00:09:03;434;431;430;439;430;429;430;0
55;2023/10/11;00:09:13;434;431;430;439;430;430;430;0
56;2023/10/11;00:09:23;433;431;431;439;430;430;431;0
57;2023/10/11;00:09:33;434;431;430;439;431;430;431;0
58;2023/10/11;00:09:43;433;431;430;437;430;430;430;0
59;2023/10/11;00:09:53;435;431;431;439;431;430;431;0
60;2023/10/11;00:10:03;433;431;429;437;430;430;430;0
61;2023/10/11;00:10:13;434;430;429;437;429;430;430;0
62;2023/10/11;00:10:23;434;431;429;437;429;429;430;0
63;2023/10/11;00:10:33;434;431;430;439;430;431;431;0
64;2023/10/11;00:10:43;435;431;431;437;430;430;431;0
65;2023/10/11;00:10:53;434;431;430;437;431;431;431;0
66;2023/10/11;00:11:03;434;433;430;439;430;431;431;0
67;2023/10/11;00:11:13;434;431;430;439;431;431;431;0
68;2023/10/11;00:11:23;435;433;430;439;431;430;431;0
69;2023/10/11;00:11:33;434;431;430;439;431;430;431;0
70;2023/10/11;00:11:43;435;433;430;439;431;430;431;0
71;2023/10/11;00:11:53;434;431;429;437;430;429;431;0
72;2023/10/11;00:12:03;435;431;430;439;431;430;431;0
73;2023/10/11;00:12:13;434;431;431;439;431;430;431;0
74;2023/10/11;00:12:23;434;433;430;439;431;431;433;0
75;2023/10/11;00:12:33;434;431;430;439;430;430;431;0
