Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
112;2023/10/11;00:18:43;4017;12;11;11;11;12
113;2023/10/11;00:18:53;4018;12;11;11;11;12
114;2023/10/11;00:19:03;4018;12;11;11;11;12
115;2023/10/11;00:19:13;4020;12;11;11;11;12
116;2023/10/11;00:19:23;4017;12;11;11;11;12
117;2023/10/11;00:19:33;4016;12;11;11;11;12
118;2023/10/11;00:19:43;4017;11;11;12;11;12
119;2023/10/11;00:19:53;4018;12;11;11;11;11
120;2023/10/11;00:20:03;4017;12;11;11;11;11
121;2023/10/11;00:20:13;4016;12;11;11;11;12
122;2023/10/11;00:20:23;4016;12;11;11;11;12
123;2023/10/11;00:20:33;4018;12;11;11;11;11
124;2023/10/11;00:20:43;4017;12;11;12;11;12
125;2023/10/11;00:20:53;4016;12;11;11;11;12
126;2023/10/11;00:21:03;4018;12;11;11;11;12
127;2023/10/11;00:21:13;4017;12;11;11;11;11
128;2023/10/11;00:21:23;4016;12;11;12;11;12
129;2023/10/11;00:21:33;4019;12;11;11;11;12
130;2023/10/11;00:21:43;4019;12;11;12;11;12
131;2023/10/11;00:21:53;4018;12;11;11;11;12
132;2023/10/11;00:22:03;4016;12;11;11;11;12
133;2023/10/11;00:22:13;4018;12;11;11;11;12
134;2023/10/11;00:22:23;4017;12;11;11;11;12
135;2023/10/11;00:22:33;4017;12;11;11;12;12
136;2023/10/11;00:22:43;4017;12;11;12;11;12
137;2023/10/11;00:22:53;4019;12;11;11;11;11
138;2023/10/11;00:23:03;4016;12;11;11;11;12
139;2023/10/11;00:23:13;4018;12;11;12;11;12
140;2023/10/11;00:23:23;4019;12;11;11;11;12
141;2023/10/11;00:23:33;4019;12;11;11;11;12
142;2023/10/11;00:23:43;4017;12;11;11;12;12
143;2023/10/11;00:23:53;4017;12;11;12;11;12
144;2023/10/11;00:24:03;4016;12;11;11;11;12
145;2023/10/11;00:24:13;4016;12;11;11;11;11
146;2023/10/11;00:24:23;4020;12;11;11;11;12
147;2023/10/11;00:24:33;4016;12;11;11;11;12
148;2023/10/11;00:24:43;4017;12;11;11;11;12
149;2023/10/11;00:24:53;4016;12;11;12;11;12
150;2023/10/11;00:25:03;4018;12;11;11;11;12
151;2023/10/11;00:25:13;4019;12;11;11;11;12
152;2023/10/11;00:25:23;4018;12;11;11;11;12
153;2023/10/11;00:25:33;4016;12;11;11;11;12
154;2023/10/11;00:25:43;4019;12;11;12;11;12
155;2023/10/11;00:25:53;4017;12;11;11;11;12
156;2023/10/11;00:26:03;4018;12;11;11;11;12
157;2023/10/11;00:26:13;4017;12;11;11;11;12
158;2023/10/11;00:26:23;4016;12;11;11;11;11
159;2023/10/11;00:26:33;4018;12;11;11;11;12
160;2023/10/11;00:26:43;4017;12;11;12;11;12
161;2023/10/11;00:26:53;4018;12;11;11;11;12
162;2023/10/11;00:27:03;4017;12;11;11;11;11
163;2023/10/11;00:27:13;4019;12;11;12;12;11
164;2023/10/11;00:27:23;4015;12;11;12;11;12
165;2023/10/11;00:27:33;4016;12;11;11;11;12
166;2023/10/11;00:27:43;4018;12;11;12;11;11
167;2023/10/11;00:27:53;4018;12;11;11;11;11
168;2023/10/11;00:28:03;4016;12;11;11;11;12
169;2023/10/11;00:28:13;4016;12;11;11;11;12
170;2023/10/11;00:28:23;4018;12;11;11;11;12
171;2023/10/11;00:28:33;4016;12;11;11;11;12
172;2023/10/11;00:28:43;4018;12;11;11;11;12
173;2023/10/11;00:28:53;4017;12;11;11;11;12
174;2023/10/11;00:29:03;4018;12;11;11;11;12
175;2023/10/11;00:29:13;4016;12;11;11;11;12
176;2023/10/11;00:29:23;4017;12;11;11;11;12
177;2023/10/11;00:29:33;4016;12;11;11;11;12
178;2023/10/11;00:29:43;4017;12;11;11;11;11
179;2023/10/11;00:29:53;4018;12;11;11;11;12
180;2023/10/11;00:30:03;4017;12;11;11;11;12
181;2023/10/11;00:30:13;4019;12;11;11;11;12
182;2023/10/11;00:30:23;4019;12;11;11;11;11
183;2023/10/11;00:30:33;4018;12;11;11;11;12
184;2023/10/11;00:30:43;4018;12;11;11;11;12
185;2023/10/11;00:30:53;4018;12;11;11;11;12
186;2023/10/11;00:31:03;4014;12;11;11;12;12
187;2023/10/11;00:31:13;4015;12;11;11;11;12
188;2023/10/11;00:31:23;4018;12;11;11;11;12
189;2023/10/11;00:31:33;4018;12;11;11;11;12
190;2023/10/11;00:31:43;4016;12;11;11;11;12
191;2023/10/11;00:31:53;4018;12;11;11;11;12
192;2023/10/11;00:32:03;4017;12;11;11;11;12
193;2023/10/11;00:32:13;4018;12;11;11;11;12
194;2023/10/11;00:32:23;4017;12;11;11;11;12
195;2023/10/11;00:32:33;4017;12;11;11;11;11
196;2023/10/11;00:32:43;4018;12;11;12;11;12
197;2023/10/11;00:32:53;4016;12;11;11;11;12
198;2023/10/11;00:33:03;4019;12;11;12;11;12
199;2023/10/11;00:33:13;4016;12;11;12;11;12
200;2023/10/11;00:33:23;4019;11;11;11;11;11
201;2023/10/11;00:33:33;4016;12;11;12;11;12
202;2023/10/11;00:33:43;4020;12;11;11;11;12
203;2023/10/11;00:33:53;4017;12;11;11;11;12
204;2023/10/11;00:34:03;4017;12;11;11;11;12
205;2023/10/11;00:34:13;4017;12;11;11;12;12
206;2023/10/11;00:34:23;4017;12;11;11;11;12
207;2023/10/11;00:34:33;4017;12;11;11;11;12
208;2023/10/11;00:34:43;4017;12;11;11;11;12
209;2023/10/11;00:34:53;4018;12;11;11;11;12
210;2023/10/11;00:35:03;12;12;11;11;11;12
211;2023/10/11;00:35:13;11;12;11;11;11;12
212;2023/10/11;00:35:23;11;12;11;11;11;12
213;2023/10/11;00:35:33;11;12;11;11;11;12
214;2023/10/11;00:35:43;11;12;11;11;11;12
215;2023/10/11;00:35:53;11;12;11;11;11;12
216;2023/10/11;00:36:03;11;12;11;11;11;11
217;2023/10/11;00:36:13;11;12;11;11;11;12
218;2023/10/11;00:36:23;11;12;11;11;11;12
219;2023/10/11;00:36:33;11;12;11;11;11;12
220;2023/10/11;00:36:43;11;12;11;12;11;12
221;2023/10/11;00:36:53;11;12;11;11;11;11
222;2023/10/11;00:37:03;11;12;11;11;11;11
223;2023/10/11;00:37:13;11;12;11;11;11;12
224;2023/10/11;00:37:23;12;12;11;12;11;12
225;2023/10/11;00:37:33;11;12;11;11;11;12
226;2023/10/11;00:37:43;12;12;11;12;12;12
227;2023/10/11;00:37:53;11;12;11;11;11;12
228;2023/10/11;00:38:03;11;12;11;11;11;12
229;2023/10/11;00:38:13;12;12;11;11;11;12
230;2023/10/11;00:38:23;12;12;11;11;11;12
231;2023/10/11;00:38:33;11;12;11;11;11;12
232;2023/10/11;00:38:43;12;12;11;11;11;12
233;2023/10/11;00:38:53;11;12;11;12;11;12
234;2023/10/11;00:39:03;12;12;11;11;11;12
235;2023/10/11;00:39:13;11;12;11;11;11;12
236;2023/10/11;00:39:23;12;12;11;11;11;12
237;2023/10/11;00:39:33;12;12;11;11;11;11
238;2023/10/11;00:39:43;12;12;11;11;11;12
239;2023/10/11;00:39:53;12;12;11;11;11;11
240;2023/10/11;00:40:03;11;12;11;11;11;12
241;2023/10/11;00:40:13;12;12;11;11;11;12
242;2023/10/11;00:40:23;11;12;11;11;11;12
243;2023/10/11;00:40:33;12;12;11;11;11;12
244;2023/10/11;00:40:43;11;12;11;11;11;12
245;2023/10/11;00:40:53;11;12;11;11;11;12
246;2023/10/11;00:41:03;12;12;11;11;11;12
247;2023/10/11;00:41:13;12;12;11;11;11;12
248;2023/10/11;00:41:23;12;12;11;11;11;12
249;2023/10/11;00:41:33;11;12;11;11;11;12
250;2023/10/11;00:41:43;11;12;11;11;11;12
251;2023/10/11;00:41:53;12;12;11;11;11;12
252;2023/10/11;00:42:03;12;12;11;11;11;12
253;2023/10/11;00:42:13;11;12;11;12;11;12
254;2023/10/11;00:42:23;12;12;11;11;11;12
255;2023/10/11;00:42:33;11;12;11;11;11;12
256;2023/10/11;00:42:43;11;12;11;11;11;11
257;2023/10/11;00:42:53;11;12;11;11;11;11
258;2023/10/11;00:43:03;11;12;11;11;11;11
259;2023/10/11;00:43:13;11;12;11;12;11;12
260;2023/10/11;00:43:23;11;12;11;11;11;12
261;2023/10/11;00:43:33;11;12;11;11;11;12
262;2023/10/11;00:43:43;11;12;11;11;11;12
263;2023/10/11;00:43:53;12;12;11;12;11;12
264;2023/10/11;00:44:03;11;12;11;12;11;12
265;2023/10/11;00:44:13;11;12;11;11;12;12
266;2023/10/11;00:44:23;11;12;11;11;11;12
267;2023/10/11;00:44:33;11;12;11;11;11;12
268;2023/10/11;00:44:43;12;12;11;11;12;12
269;2023/10/11;00:44:53;12;12;11;11;11;12
270;2023/10/11;00:45:03;12;12;11;11;11;11
271;2023/10/11;00:45:13;11;12;11;11;11;11
272;2023/10/11;00:45:23;11;12;11;11;11;12
273;2023/10/11;00:45:33;11;12;11;11;11;12
274;2023/10/11;00:45:43;12;12;11;12;11;12
275;2023/10/11;00:45:53;12;12;11;11;11;12
276;2023/10/11;00:46:03;11;12;11;12;11;11
277;2023/10/11;00:46:13;12;12;11;11;11;12
278;2023/10/11;00:46:23;11;12;11;11;11;11
279;2023/10/11;00:46:33;11;12;11;11;11;12
280;2023/10/11;00:46:43;12;12;11;11;11;12
281;2023/10/11;00:46:53;11;12;11;11;11;12
282;2023/10/11;00:47:03;12;12;11;11;12;12
283;2023/10/11;00:47:13;11;12;11;11;12;11
284;2023/10/11;00:47:23;11;12;11;11;11;12
285;2023/10/11;00:47:33;11;12;11;12;11;12
286;2023/10/11;00:47:43;12;12;11;11;11;12
287;2023/10/11;00:47:53;11;12;11;11;11;12
288;2023/10/11;00:48:03;12;12;11;11;11;12
289;2023/10/11;00:48:13;12;12;11;11;11;12
290;2023/10/11;00:48:23;11;12;11;11;11;12
291;2023/10/11;00:48:33;12;12;11;11;11;12
292;2023/10/11;00:48:43;12;12;11;11;11;12
293;2023/10/11;00:48:53;11;12;11;12;11;12
294;2023/10/11;00:49:03;12;12;11;11;11;12
295;2023/10/11;00:49:13;11;12;11;11;11;12
296;2023/10/11;00:49:23;12;12;11;11;11;12
297;2023/10/11;00:49:33;11;12;11;11;11;12
298;2023/10/11;00:49:43;12;12;11;11;11;12
