Line; Date; Time; T INA SPECTRO (degC); T INA OSCAR (degC); T INA MOTORS (degC); T INA BATT (degC); T INA DC_BUS (degC); T INA Q7 (degC); T INA 5V (degC); T INA 3V3 (degC)
0; 2023/10/11; 14:48:38; 33,8359375; 33,2109375; 37,03125; 37,1484375; 37,359375; 37,1328125; 37,234375; 33,1484375
1; 2023/10/11; 14:48:48; 33,8515625; 33,234375; 37,0390625; 37,109375; 37,34375; 37,109375; 37,21875; 33,1640625
2; 2023/10/11; 14:48:58; 33,890625; 33,34375; 37,1328125; 37,109375; 37,390625; 37,125; 37,2890625; 33,2265625
3; 2023/10/11; 14:49:08; 33,953125; 33,4765625; 37,2109375; 37,1484375; 37,4609375; 37,171875; 37,359375; 33,3046875
4; 2023/10/11; 14:49:18; 34,0078125; 33,5859375; 37,296875; 37,1875; 37,515625; 37,2265625; 37,4375; 33,359375
5; 2023/10/11; 14:49:28; 34,0859375; 33,6875; 37,375; 37,25; 37,59375; 37,2890625; 37,4921875; 33,4140625
6; 2023/10/11; 14:49:38; 34,1484375; 33,8046875; 37,453125; 37,328125; 37,6796875; 37,3984375; 37,609375; 33,515625
7; 2023/10/11; 14:49:48; 34,21875; 33,84375; 37,515625; 37,3828125; 37,7421875; 37,4296875; 37,6640625; 33,5625
8; 2023/10/11; 14:49:58; 34,2578125; 33,7421875; 37,4453125; 37,453125; 37,734375; 37,4453125; 37,625; 33,5859375
9; 2023/10/11; 14:50:08; 34,265625; 33,671875; 37,4453125; 37,4921875; 37,734375; 37,46875; 37,6328125; 33,5625
10; 2023/10/11; 14:50:18; 34,25; 33,6171875; 37,453125; 37,4765625; 37,71875; 37,5; 37,6015625; 33,53125
11; 2023/10/11; 14:50:28; 34,25; 33,578125; 37,453125; 37,4921875; 37,75; 37,46875; 37,609375; 33,53125
12; 2023/10/11; 14:50:38; 34,25; 33,578125; 37,4453125; 37,5078125; 37,7265625; 37,4921875; 37,59375; 33,5
13; 2023/10/11; 14:50:48; 34,2421875; 33,59375; 37,4453125; 37,4765625; 37,734375; 37,484375; 37,6015625; 33,4765625
14; 2023/10/11; 14:50:58; 34,234375; 33,5546875; 37,4375; 37,5; 37,7109375; 37,46875; 37,6015625; 33,5
15; 2023/10/11; 14:51:08; 34,2421875; 33,546875; 37,4453125; 37,46875; 37,703125; 37,484375; 37,625; 33,4921875
16; 2023/10/11; 14:51:18; 34,2265625; 33,53125; 37,4296875; 37,4609375; 37,71875; 37,46875; 37,609375; 33,46875
17; 2023/10/11; 14:51:28; 34,2265625; 33,5234375; 37,4375; 37,4609375; 37,7109375; 37,4609375; 37,6015625; 33,4609375
18; 2023/10/11; 14:51:38; 34,2265625; 33,5390625; 37,4296875; 37,5; 37,7265625; 37,4609375; 37,6015625; 33,4765625
19; 2023/10/11; 14:51:48; 34,2265625; 33,4921875; 37,421875; 37,4375; 37,734375; 37,4765625; 37,6015625; 33,484375
20; 2023/10/11; 14:51:58; 34,234375; 33,5390625; 37,4296875; 37,4453125; 37,6875; 37,4765625; 37,578125; 33,4609375
21; 2023/10/11; 14:52:08; 34,21875; 33,5234375; 37,4140625; 37,453125; 37,703125; 37,4609375; 37,6015625; 33,4453125
22; 2023/10/11; 14:52:18; 34,234375; 33,515625; 37,4140625; 37,421875; 37,703125; 37,4453125; 37,5625; 33,4609375
23; 2023/10/11; 14:52:28; 34,21875; 33,4921875; 37,421875; 37,4296875; 37,6796875; 37,4609375; 37,59375; 33,4375
24; 2023/10/11; 14:52:38; 34,2109375; 33,515625; 37,421875; 37,453125; 37,6875; 37,4296875; 37,578125; 33,4609375
25; 2023/10/11; 14:52:48; 34,2109375; 33,4765625; 37,4140625; 37,4609375; 37,71875; 37,4765625; 37,578125; 33,453125
26; 2023/10/11; 14:52:58; 34,2109375; 33,4921875; 37,4140625; 37,4375; 37,703125; 37,453125; 37,5859375; 33,4375
27; 2023/10/11; 14:53:08; 34,21875; 33,4765625; 37,421875; 37,4375; 37,7109375; 37,4375; 37,5625; 33,4453125
28; 2023/10/11; 14:53:18; 34,2109375; 33,4921875; 37,4140625; 37,4453125; 37,7109375; 37,4609375; 37,6015625; 33,453125
29; 2023/10/11; 14:53:28; 34,2265625; 33,4921875; 37,40625; 37,46875; 37,7109375; 37,4453125; 37,59375; 33,4765625
30; 2023/10/11; 14:53:38; 34,1875; 33,4921875; 37,4140625; 37,4296875; 37,6875; 37,4453125; 37,5625; 33,453125
31; 2023/10/11; 14:53:48; 34,1953125; 33,4609375; 37,4140625; 37,4375; 37,71875; 37,4296875; 37,5546875; 33,4375
32; 2023/10/11; 14:53:58; 34,2109375; 33,4765625; 37,4140625; 37,4296875; 37,6875; 37,4453125; 37,5703125; 33,46875
33; 2023/10/11; 14:54:08; 34,21875; 33,4921875; 37,40625; 37,4609375; 37,6796875; 37,4375; 37,5546875; 33,4296875
34; 2023/10/11; 14:54:18; 34,1796875; 33,5; 37,40625; 37,4296875; 37,671875; 37,4375; 37,5859375; 33,4375
35; 2023/10/11; 14:54:28; 34,203125; 33,484375; 37,4140625; 37,4453125; 37,671875; 37,4296875; 37,5859375; 33,4765625
36; 2023/10/11; 14:54:38; 34,1875; 33,4921875; 37,421875; 37,4453125; 37,6953125; 37,4296875; 37,578125; 33,4296875
37; 2023/10/11; 14:54:48; 34,1875; 33,46875; 37,4140625; 37,4375; 37,671875; 37,4296875; 37,5859375; 33,40625
38; 2023/10/11; 14:54:58; 34,1875; 33,46875; 37,4140625; 37,4296875; 37,671875; 37,4453125; 37,546875; 33,421875
39; 2023/10/11; 14:55:08; 34,1953125; 33,4609375; 37,40625; 37,4296875; 37,703125; 37,4296875; 37,5390625; 33,421875
40; 2023/10/11; 14:55:18; 34,171875; 33,453125; 37,40625; 37,40625; 37,6640625; 37,421875; 37,5703125; 33,4609375
41; 2023/10/11; 14:55:28; 34,1796875; 33,4609375; 37,3984375; 37,4296875; 37,6875; 37,4296875; 37,5625; 33,453125
42; 2023/10/11; 14:55:38; 34,1953125; 33,484375; 37,4140625; 37,4375; 37,6953125; 37,421875; 37,5390625; 33,4140625
43; 2023/10/11; 14:55:48; 34,203125; 33,484375; 37,40625; 37,4375; 37,6875; 37,4140625; 37,5859375; 33,453125
44; 2023/10/11; 14:55:58; 34,2109375; 33,4921875; 37,40625; 37,40625; 37,7109375; 37,453125; 37,5625; 33,4453125
45; 2023/10/11; 14:56:08; 34,171875; 33,484375; 37,40625; 37,4140625; 37,6875; 37,4453125; 37,5546875; 33,3984375
46; 2023/10/11; 14:56:18; 34,1875; 33,4453125; 37,40625; 37,4296875; 37,671875; 37,4296875; 37,578125; 33,4375
47; 2023/10/11; 14:56:28; 34,1875; 33,4609375; 37,3984375; 37,40625; 37,6796875; 37,4375; 37,546875; 33,4296875
48; 2023/10/11; 14:56:38; 34,203125; 33,4609375; 37,3984375; 37,4375; 37,6796875; 37,4375; 37,59375; 33,46875
49; 2023/10/11; 14:56:48; 34,1875; 33,4765625; 37,3984375; 37,40625; 37,6796875; 37,453125; 37,546875; 33,4453125
50; 2023/10/11; 14:56:58; 34,1796875; 33,4375; 37,3984375; 37,421875; 37,6953125; 37,4296875; 37,578125; 33,453125
51; 2023/10/11; 14:57:08; 34,1875; 33,484375; 37,40625; 37,4375; 37,7109375; 37,4140625; 37,578125; 33,4296875
52; 2023/10/11; 14:57:18; 34,171875; 33,453125; 37,3984375; 37,4609375; 37,703125; 37,4140625; 37,5859375; 33,421875
53; 2023/10/11; 14:57:28; 34,1640625; 33,4375; 37,40625; 37,4375; 37,6875; 37,40625; 37,578125; 33,40625
54; 2023/10/11; 14:57:38; 34,1640625; 33,453125; 37,40625; 37,40625; 37,6953125; 37,4296875; 37,578125; 33,4296875
55; 2023/10/11; 14:57:48; 34,1796875; 33,46875; 37,40625; 37,3984375; 37,6640625; 37,421875; 37,5546875; 33,4296875
56; 2023/10/11; 14:57:58; 34,1875; 33,4765625; 37,3984375; 37,4296875; 37,6875; 37,421875; 37,5546875; 33,40625
57; 2023/10/11; 14:58:08; 34,171875; 33,453125; 37,3984375; 37,4140625; 37,671875; 37,453125; 37,5625; 33,4140625
58; 2023/10/11; 14:58:18; 34,1953125; 33,453125; 37,3984375; 37,4375; 37,6796875; 37,4296875; 37,546875; 33,4140625
59; 2023/10/11; 14:58:28; 34,171875; 33,4375; 37,40625; 37,4609375; 37,6640625; 37,4296875; 37,5625; 33,421875
60; 2023/10/11; 14:58:38; 34,15625; 33,4375; 37,3984375; 37,4140625; 37,6640625; 37,4140625; 37,5859375; 33,4375
61; 2023/10/11; 14:58:48; 34,1875; 33,4609375; 37,40625; 37,421875; 37,6875; 37,421875; 37,546875; 33,4296875
62; 2023/10/11; 14:58:58; 34,171875; 33,4453125; 37,390625; 37,40625; 37,703125; 37,421875; 37,546875; 33,3984375
63; 2023/10/11; 14:59:08; 34,1875; 33,46875; 37,3984375; 37,421875; 37,671875; 37,4296875; 37,5859375; 33,4140625
64; 2023/10/11; 14:59:18; 34,1640625; 33,46875; 37,390625; 37,4296875; 37,6953125; 37,4140625; 37,5703125; 33,3984375
65; 2023/10/11; 14:59:28; 34,171875; 33,4296875; 37,3984375; 37,4140625; 37,671875; 37,421875; 37,578125; 33,4453125
66; 2023/10/11; 14:59:38; 34,15625; 33,4453125; 37,3984375; 37,40625; 37,671875; 37,3984375; 37,578125; 33,4140625
67; 2023/10/11; 14:59:48; 34,1640625; 33,4453125; 37,390625; 37,421875; 37,671875; 37,4140625; 37,5625; 33,3984375
68; 2023/10/11; 14:59:58; 34,171875; 33,46875; 37,3984375; 37,4375; 37,6640625; 37,4453125; 37,546875; 33,40625
69; 2023/10/11; 15:00:08; 34,15625; 33,4609375; 37,390625; 37,4296875; 37,6796875; 37,4140625; 37,53125; 33,3984375
70; 2023/10/11; 15:00:18; 34,1875; 33,453125; 37,3984375; 37,40625; 37,6640625; 37,4296875; 37,5859375; 33,4375
71; 2023/10/11; 15:00:28; 34,203125; 33,4453125; 37,390625; 37,40625; 37,6640625; 37,4140625; 37,546875; 33,390625
72; 2023/10/11; 15:00:38; 34,171875; 33,453125; 37,390625; 37,4375; 37,6953125; 37,4296875; 37,5625; 33,3828125
73; 2023/10/11; 15:00:48; 34,1796875; 33,4453125; 37,3984375; 37,3984375; 37,671875; 37,4296875; 37,546875; 33,3984375
74; 2023/10/11; 15:00:58; 34,171875; 33,453125; 37,3828125; 37,4140625; 37,671875; 37,4375; 37,5703125; 33,4296875
75; 2023/10/11; 15:01:08; 34,1953125; 33,4453125; 37,3828125; 37,4140625; 37,6875; 37,4375; 37,546875; 33,4296875
76; 2023/10/11; 15:01:18; 34,171875; 33,4609375; 37,3984375; 37,390625; 37,671875; 37,421875; 37,5546875; 33,4140625
77; 2023/10/11; 15:01:28; 34,171875; 33,4765625; 37,390625; 37,4140625; 37,671875; 37,453125; 37,5546875; 33,40625
78; 2023/10/11; 15:01:38; 34,1640625; 33,4453125; 37,390625; 37,40625; 37,65625; 37,4140625; 37,5546875; 33,4453125
79; 2023/10/11; 15:01:48; 34,1796875; 33,46875; 37,3984375; 37,3984375; 37,65625; 37,4296875; 37,53125; 33,421875
80; 2023/10/11; 15:01:58; 34,15625; 33,4296875; 37,390625; 37,4140625; 37,6484375; 37,40625; 37,5703125; 33,421875
81; 2023/10/11; 15:02:08; 34,140625; 33,4453125; 37,3984375; 37,390625; 37,671875; 37,421875; 37,546875; 33,4296875
82; 2023/10/11; 15:02:18; 34,1640625; 33,4375; 37,3984375; 37,4296875; 37,6484375; 37,4375; 37,578125; 33,390625
83; 2023/10/11; 15:02:28; 34,1640625; 33,4609375; 37,3828125; 37,3984375; 37,6953125; 37,421875; 37,5625; 33,4296875
84; 2023/10/11; 15:02:38; 34,1640625; 33,4453125; 37,3828125; 37,421875; 37,6640625; 37,4296875; 37,5625; 33,421875
85; 2023/10/11; 15:02:48; 34,1796875; 33,4296875; 37,390625; 37,40625; 37,6796875; 37,4140625; 37,5859375; 33,4140625
86; 2023/10/11; 15:02:58; 34,1640625; 33,4609375; 37,3828125; 37,4140625; 37,6796875; 37,4140625; 37,53125; 33,4140625
87; 2023/10/11; 15:03:08; 34,140625; 33,40625; 37,3828125; 37,4296875; 37,6640625; 37,4140625; 37,53125; 33,40625
88; 2023/10/11; 15:03:18; 34,140625; 33,46875; 37,390625; 37,40625; 37,671875; 37,40625; 37,5390625; 33,421875
89; 2023/10/11; 15:03:28; 34,15625; 33,4296875; 37,390625; 37,3984375; 37,6875; 37,3984375; 37,5625; 33,4140625
90; 2023/10/11; 15:03:38; 34,1640625; 33,421875; 37,390625; 37,3984375; 37,671875; 37,453125; 37,53125; 33,3984375
91; 2023/10/11; 15:03:48; 34,1640625; 33,4296875; 37,375; 37,3828125; 37,671875; 37,4140625; 37,5390625; 33,421875
92; 2023/10/11; 15:03:58; 34,140625; 33,4296875; 37,3828125; 37,4140625; 37,6484375; 37,390625; 37,53125; 33,40625
93; 2023/10/11; 15:04:08; 34,1640625; 33,4453125; 37,390625; 37,421875; 37,6953125; 37,4296875; 37,5703125; 33,4140625
94; 2023/10/11; 15:04:18; 34,1484375; 33,4453125; 37,3984375; 37,4453125; 37,6640625; 37,40625; 37,5390625; 33,4140625
95; 2023/10/11; 15:04:28; 34,15625; 33,4296875; 37,375; 37,4296875; 37,671875; 37,40625; 37,53125; 33,3984375
96; 2023/10/11; 15:04:38; 34,1484375; 33,4296875; 37,3828125; 37,3984375; 37,671875; 37,40625; 37,5234375; 33,3984375
97; 2023/10/11; 15:04:48; 34,1484375; 33,4453125; 37,3828125; 37,3984375; 37,640625; 37,421875; 37,5234375; 33,4375
98; 2023/10/11; 15:04:58; 34,15625; 33,453125; 37,3828125; 37,3828125; 37,6640625; 37,3984375; 37,5625; 33,3984375
99; 2023/10/11; 15:05:08; 34,15625; 33,4375; 37,3828125; 37,3984375; 37,6484375; 37,4453125; 37,546875; 33,3984375
100; 2023/10/11; 15:05:18; 34,1640625; 33,4453125; 37,3828125; 37,421875; 37,640625; 37,4296875; 37,5546875; 33,3984375
101; 2023/10/11; 15:05:28; 34,1328125; 33,4453125; 37,390625; 37,4296875; 37,6640625; 37,4140625; 37,5546875; 33,3984375
102; 2023/10/11; 15:05:38; 34,140625; 33,4296875; 37,390625; 37,40625; 37,671875; 37,4140625; 37,5546875; 33,390625
103; 2023/10/11; 15:05:48; 34,140625; 33,4140625; 37,3828125; 37,40625; 37,6640625; 37,4140625; 37,5625; 33,4296875
104; 2023/10/11; 15:05:58; 34,125; 33,4765625; 37,3828125; 37,421875; 37,6796875; 37,3984375; 37,5234375; 33,3984375
105; 2023/10/11; 15:06:08; 34,1328125; 33,4453125; 37,390625; 37,3984375; 37,6796875; 37,4140625; 37,5390625; 33,375
106; 2023/10/11; 15:06:18; 34,125; 33,4140625; 37,375; 37,4375; 37,671875; 37,3984375; 37,5546875; 33,3984375
107; 2023/10/11; 15:06:28; 34,1640625; 33,421875; 37,3828125; 37,3828125; 37,65625; 37,4375; 37,515625; 33,40625
108; 2023/10/11; 15:06:38; 34,15625; 33,4296875; 37,3828125; 37,390625; 37,6875; 37,40625; 37,546875; 33,421875
109; 2023/10/11; 15:06:48; 34,15625; 33,4140625; 37,390625; 37,421875; 37,65625; 37,4140625; 37,5703125; 33,390625
110; 2023/10/11; 15:06:58; 34,1484375; 33,421875; 37,3828125; 37,3828125; 37,6640625; 37,4140625; 37,53125; 33,390625
111; 2023/10/11; 15:07:08; 34,1640625; 33,4296875; 37,375; 37,40625; 37,640625; 37,4296875; 37,578125; 33,3984375
112; 2023/10/11; 15:07:18; 34,140625; 33,4296875; 37,3828125; 37,421875; 37,671875; 37,4296875; 37,546875; 33,4140625
