Line; Date; Time; PT0 (degC); PT1 (degC); PT2 (degC); PT3 (degC); PT4 (degC); PT5 (degC); PT6 (degC); PT7 (degC)
0; 2023/10/11; 00:00:03; 26.556776556776555; 26.31257631257631; 26.19047619047619; 26.739926739926737; 26.25152625152625; 26.25152625152625; 26.25152625152625; 0.0
1; 2023/10/11; 00:00:13; 26.556776556776555; 26.31257631257631; 26.31257631257631; 26.800976800976798; 26.19047619047619; 26.25152625152625; 26.31257631257631; 0.0
2; 2023/10/11; 00:00:23; 26.556776556776555; 26.373626373626372; 26.25152625152625; 26.800976800976798; 26.19047619047619; 26.25152625152625; 26.31257631257631; 0.0
3; 2023/10/11; 00:00:33; 26.434676434676433; 26.25152625152625; 26.19047619047619; 26.678876678876676; 26.19047619047619; 26.19047619047619; 26.25152625152625; 0.0
4; 2023/10/11; 00:00:43; 26.495726495726494; 26.25152625152625; 26.19047619047619; 26.678876678876676; 26.19047619047619; 26.19047619047619; 26.19047619047619; 0.0
5; 2023/10/11; 00:00:53; 26.556776556776555; 26.31257631257631; 26.25152625152625; 26.739926739926737; 26.19047619047619; 26.25152625152625; 26.31257631257631; 0.0
6; 2023/10/11; 00:01:03; 26.495726495726494; 26.25152625152625; 26.19047619047619; 26.678876678876676; 26.12942612942613; 26.068376068376068; 26.25152625152625; 0.0
7; 2023/10/11; 00:01:13; 26.434676434676433; 26.25152625152625; 26.19047619047619; 26.739926739926737; 26.19047619047619; 26.19047619047619; 26.19047619047619; 0.0
8; 2023/10/11; 00:01:23; 26.556776556776555; 26.25152625152625; 26.19047619047619; 26.678876678876676; 26.19047619047619; 26.068376068376068; 26.19047619047619; 0.0
9; 2023/10/11; 00:01:33; 26.556776556776555; 26.373626373626372; 26.25152625152625; 26.800976800976798; 26.19047619047619; 26.19047619047619; 26.31257631257631; 0.0
10; 2023/10/11; 00:01:43; 26.495726495726494; 26.31257631257631; 26.12942612942613; 26.739926739926737; 26.19047619047619; 26.19047619047619; 26.31257631257631; 0.0
11; 2023/10/11; 00:01:53; 26.495726495726494; 26.25152625152625; 26.19047619047619; 26.739926739926737; 26.19047619047619; 26.12942612942613; 26.31257631257631; 0.0
12; 2023/10/11; 00:02:03; 26.556776556776555; 26.31257631257631; 26.25152625152625; 26.800976800976798; 26.19047619047619; 26.12942612942613; 26.31257631257631; 0.0
13; 2023/10/11; 00:02:13; 26.495726495726494; 26.31257631257631; 26.25152625152625; 26.800976800976798; 26.25152625152625; 26.19047619047619; 26.31257631257631; 0.0
14; 2023/10/11; 00:02:23; 26.556776556776555; 26.31257631257631; 26.25152625152625; 26.800976800976798; 26.19047619047619; 26.19047619047619; 26.31257631257631; 0.0
15; 2023/10/11; 00:02:33; 26.434676434676433; 26.31257631257631; 26.19047619047619; 26.678876678876676; 26.19047619047619; 26.068376068376068; 26.25152625152625; 0.0
16; 2023/10/11; 00:02:43; 26.556776556776555; 26.31257631257631; 26.25152625152625; 26.800976800976798; 26.25152625152625; 26.25152625152625; 26.31257631257631; 0.0
17; 2023/10/11; 00:02:53; 26.495726495726494; 26.25152625152625; 26.12942612942613; 26.678876678876676; 26.19047619047619; 26.19047619047619; 26.25152625152625; 0.0
18; 2023/10/11; 00:03:03; 26.556776556776555; 26.373626373626372; 26.25152625152625; 26.739926739926737; 26.25152625152625; 26.19047619047619; 26.31257631257631; 0.0
19; 2023/10/11; 00:03:13; 26.556776556776555; 26.25152625152625; 26.25152625152625; 26.800976800976798; 26.25152625152625; 26.25152625152625; 26.31257631257631; 0.0
20; 2023/10/11; 00:03:23; 26.556776556776555; 26.31257631257631; 26.19047619047619; 26.800976800976798; 26.19047619047619; 26.25152625152625; 26.31257631257631; 0.0
21; 2023/10/11; 00:03:33; 26.495726495726494; 26.31257631257631; 26.25152625152625; 26.739926739926737; 26.19047619047619; 26.25152625152625; 26.31257631257631; 0.0
22; 2023/10/11; 00:03:43; 26.495726495726494; 26.373626373626372; 26.25152625152625; 26.739926739926737; 26.25152625152625; 26.25152625152625; 26.31257631257631; 0.0
23; 2023/10/11; 00:03:53; 26.556776556776555; 26.31257631257631; 26.25152625152625; 26.800976800976798; 26.25152625152625; 26.25152625152625; 26.31257631257631; 0.0
