Line;Date;Time;PT0 (degC);PT1 (degC);PT2 (degC);PT3 (degC);PT4 (degC);PT5 (degC);PT6 (degC);PT7 (degC)
0;2023/10/11;14:48:38;470;466;466;476;465;465;466;0
1;2023/10/11;14:48:48;469;467;466;476;465;465;466;0
2;2023/10/11;14:48:58;468;466;465;475;464;464;465;0
3;2023/10/11;14:49:08;468;466;465;474;461;464;464;0
4;2023/10/11;14:49:18;468;466;466;475;460;464;465;0
5;2023/10/11;14:49:28;469;466;466;476;465;465;466;0
6;2023/10/11;14:49:38;469;466;466;475;466;466;465;0
7;2023/10/11;14:49:48;469;466;466;475;465;466;466;0
8;2023/10/11;14:49:58;468;467;466;475;465;464;466;0
9;2023/10/11;14:50:08;468;466;465;475;464;464;465;0
10;2023/10/11;14:50:18;468;466;465;474;464;464;465;0
11;2023/10/11;14:50:28;469;466;466;476;466;465;466;0
12;2023/10/11;14:50:38;468;465;464;475;464;465;465;0
13;2023/10/11;14:50:48;469;466;466;475;466;464;466;0
14;2023/10/11;14:50:58;469;466;465;476;466;465;466;0
15;2023/10/11;14:51:08;468;466;466;475;466;465;465;0
16;2023/10/11;14:51:18;468;466;464;474;465;463;464;0
17;2023/10/11;14:51:28;468;466;464;475;466;464;463;0
18;2023/10/11;14:51:38;469;466;466;476;466;465;466;0
19;2023/10/11;14:51:48;469;466;465;475;466;465;464;0
20;2023/10/11;14:51:58;468;466;465;474;466;465;463;0
21;2023/10/11;14:52:08;468;466;465;476;466;464;465;0
22;2023/10/11;14:52:18;469;466;466;476;466;464;464;0
23;2023/10/11;14:52:28;467;466;465;475;466;463;464;0
24;2023/10/11;14:52:38;468;466;466;474;465;463;465;0
25;2023/10/11;14:52:48;468;466;466;475;466;464;465;0
26;2023/10/11;14:52:58;467;466;465;474;466;464;464;0
27;2023/10/11;14:53:08;468;466;466;475;466;465;465;0
28;2023/10/11;14:53:18;468;466;464;473;466;464;464;0
29;2023/10/11;14:53:28;468;466;466;475;466;465;464;0
30;2023/10/11;14:53:38;467;466;464;475;466;464;463;0
31;2023/10/11;14:53:48;469;466;466;476;466;465;465;0
32;2023/10/11;14:53:58;469;466;466;475;466;464;465;0
33;2023/10/11;14:54:08;469;465;465;475;466;465;465;0
34;2023/10/11;14:54:18;469;466;465;474;466;464;465;0
35;2023/10/11;14:54:28;468;466;465;475;466;465;465;0
36;2023/10/11;14:54:38;468;466;465;476;466;465;465;0
37;2023/10/11;14:54:48;467;465;464;474;466;464;464;0
38;2023/10/11;14:54:58;468;466;465;474;466;465;465;0
39;2023/10/11;14:55:08;469;466;466;475;466;465;465;0
40;2023/10/11;14:55:18;469;466;465;475;466;465;465;0
41;2023/10/11;14:55:28;468;466;464;474;466;464;464;0
42;2023/10/11;14:55:38;469;466;466;475;466;464;465;0
43;2023/10/11;14:55:48;469;466;466;475;466;464;466;0
44;2023/10/11;14:55:58;467;465;465;474;465;464;464;0
45;2023/10/11;14:56:08;469;466;465;475;466;464;465;0
