Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
0; 2023/10/11; 00:00:03; 1048575; 62; 0; 0; 2420; 44; 22; 6
1; 2023/10/11; 00:00:13; 1048575; 62; 0; 0; 2628; 48; 22; 7
2; 2023/10/11; 00:00:23; 0; 62; 0; 0; 2531; 47; 22; 7
3; 2023/10/11; 00:00:33; 1048575; 62; 0; 0; 2639; 47; 22; 7
4; 2023/10/11; 00:00:43; 1; 62; 0; 0; 2528; 45; 22; 7
5; 2023/10/11; 00:00:53; 0; 62; 0; 0; 2647; 45; 22; 7
6; 2023/10/11; 00:01:03; 1048575; 52; 0; 0; 2647; 47; 22; 7
7; 2023/10/11; 00:01:13; 1048575; 52; 0; 0; 2456; 45; 22; 6
8; 2023/10/11; 00:01:23; 1048575; 52; 0; 0; 2660; 45; 22; 7
9; 2023/10/11; 00:01:33; 1048575; 63; 0; 0; 2668; 45; 22; 7
10; 2023/10/11; 00:01:43; 1048575; 63; 0; 0; 2538; 48; 22; 7
11; 2023/10/11; 00:01:53; 1048575; 63; 0; 0; 2539; 45; 22; 7
12; 2023/10/11; 00:02:03; 0; 63; 0; 0; 2556; 47; 22; 7
13; 2023/10/11; 00:02:13; 0; 63; 0; 0; 2537; 48; 22; 7
14; 2023/10/11; 00:02:23; 0; 62; 0; 0; 2370; 44; 22; 6
15; 2023/10/11; 00:02:33; 0; 62; 0; 0; 2513; 47; 22; 7
16; 2023/10/11; 00:02:43; 1048575; 62; 0; 0; 2559; 48; 22; 7
17; 2023/10/11; 00:02:53; 1048575; 62; 0; 0; 2643; 48; 22; 7
18; 2023/10/11; 00:03:03; 1048575; 62; 0; 0; 2640; 46; 22; 7
19; 2023/10/11; 00:03:13; 0; 62; 0; 0; 2670; 48; 22; 7
20; 2023/10/11; 00:03:23; 1048575; 62; 0; 0; 2744; 49; 22; 7
21; 2023/10/11; 00:03:33; 0; 62; 0; 0; 2562; 41; 22; 6
22; 2023/10/11; 00:03:43; 1048575; 62; 0; 0; 2703; 49; 22; 7
23; 2023/10/11; 00:03:53; 0; 62; 0; 0; 2674; 48; 22; 7
24; 2023/10/11; 00:04:03; 1; 62; 0; 0; 2666; 44; 22; 7
25; 2023/10/11; 00:04:13; 1048575; 62; 0; 0; 2536; 45; 22; 7
26; 2023/10/11; 00:04:23; 1048575; 62; 0; 0; 2647; 47; 22; 7
27; 2023/10/11; 00:04:33; 1048575; 62; 0; 0; 2681; 45; 22; 7
28; 2023/10/11; 00:04:43; 1048575; 62; 0; 0; 2363; 43; 22; 6
29; 2023/10/11; 00:04:53; 0; 62; 0; 0; 2528; 48; 22; 7
30; 2023/10/11; 00:05:03; 1048575; 62; 0; 0; 2532; 45; 22; 7
31; 2023/10/11; 00:05:13; 1048575; 62; 0; 0; 2537; 47; 22; 7
32; 2023/10/11; 00:05:23; 0; 62; 0; 0; 2513; 47; 22; 7
33; 2023/10/11; 00:05:33; 0; 62; 0; 0; 2599; 45; 22; 7
34; 2023/10/11; 00:05:43; 0; 52; 0; 0; 2629; 45; 22; 7
35; 2023/10/11; 00:05:53; 1048575; 52; 0; 0; 2472; 44; 22; 6
36; 2023/10/11; 00:06:03; 1048575; 52; 0; 0; 2505; 48; 22; 7
37; 2023/10/11; 00:06:13; 0; 63; 0; 0; 2695; 45; 22; 7
38; 2023/10/11; 00:06:23; 1048574; 62; 0; 0; 2657; 47; 22; 7
39; 2023/10/11; 00:06:33; 0; 63; 0; 0; 2673; 49; 22; 7
40; 2023/10/11; 00:06:43; 0; 63; 0; 0; 2634; 44; 22; 7
41; 2023/10/11; 00:06:53; 1048574; 63; 0; 0; 2584; 48; 22; 7
42; 2023/10/11; 00:07:03; 0; 63; 0; 0; 2430; 44; 22; 6
43; 2023/10/11; 00:07:13; 0; 62; 0; 0; 2584; 46; 22; 7
44; 2023/10/11; 00:07:23; 1048575; 62; 0; 0; 2600; 47; 22; 7
45; 2023/10/11; 00:07:33; 0; 62; 0; 0; 2599; 50; 22; 7
46; 2023/10/11; 00:07:43; 1048575; 62; 0; 0; 2589; 45; 22; 7
47; 2023/10/11; 00:07:53; 1048575; 62; 0; 0; 2665; 48; 22; 7
48; 2023/10/11; 00:08:03; 0; 62; 0; 0; 2680; 48; 22; 7
49; 2023/10/11; 00:08:13; 1048575; 62; 0; 0; 2583; 43; 22; 6
50; 2023/10/11; 00:08:23; 0; 62; 0; 0; 2649; 49; 22; 7
51; 2023/10/11; 00:08:33; 0; 62; 0; 0; 2698; 48; 22; 7
52; 2023/10/11; 00:08:43; 1; 62; 0; 0; 2700; 45; 22; 7
53; 2023/10/11; 00:08:53; 1048575; 62; 0; 0; 2676; 48; 22; 7
54; 2023/10/11; 00:09:03; 1048575; 62; 0; 0; 2666; 48; 22; 7
55; 2023/10/11; 00:09:13; 1048575; 62; 0; 0; 2642; 45; 22; 7
56; 2023/10/11; 00:09:23; 1048575; 62; 0; 0; 2360; 41; 22; 6
