Line;Date;Time;PT0 (degC);PT1 (degC);PT2 (degC);PT3 (degC);PT4 (degC);PT5 (degC);PT6 (degC);PT7 (degC)
0;2023/10/11;15:45:42;467;464;464;471;464;462;463;0
1;2023/10/11;15:45:52;465;464;462;470;465;461;463;0
2;2023/10/11;15:46:02;466;464;463;470;463;462;463;0
3;2023/10/11;15:46:12;467;465;464;473;457;454;463;0
4;2023/10/11;15:46:22;466;464;462;471;464;462;462;0
5;2023/10/11;15:46:32;466;464;462;471;463;462;461;0
6;2023/10/11;15:46:42;466;462;463;470;464;462;462;0
7;2023/10/11;15:46:52;467;465;463;473;465;461;463;0
8;2023/10/11;15:47:02;466;464;462;471;464;462;463;0
9;2023/10/11;15:47:12;466;465;465;473;465;464;462;0
10;2023/10/11;15:47:22;466;465;464;473;465;463;463;0
11;2023/10/11;15:47:32;466;464;463;470;463;461;462;0
12;2023/10/11;15:47:42;465;464;463;470;464;461;461;0
13;2023/10/11;15:47:52;466;466;463;471;465;463;463;0
14;2023/10/11;15:48:02;466;465;463;473;465;462;463;0
15;2023/10/11;15:48:12;467;465;464;473;465;462;463;0
16;2023/10/11;15:48:22;466;463;462;470;465;462;462;0
17;2023/10/11;15:48:32;467;464;464;471;465;463;462;0
18;2023/10/11;15:48:42;465;463;462;470;466;462;462;0
19;2023/10/11;15:48:52;466;465;462;471;466;462;464;0
20;2023/10/11;15:49:02;465;464;462;469;466;462;461;0
21;2023/10/11;15:49:12;466;464;462;470;465;461;461;0
22;2023/10/11;15:49:22;467;465;464;471;467;464;464;0
23;2023/10/11;15:49:32;466;465;464;471;466;462;463;0
24;2023/10/11;15:49:42;466;465;464;471;465;462;463;0
25;2023/10/11;15:49:52;466;464;463;471;466;462;462;0
26;2023/10/11;15:50:02;466;465;463;471;466;462;463;0
27;2023/10/11;15:50:12;466;463;462;471;465;461;461;0
28;2023/10/11;15:50:22;466;465;462;471;466;462;463;0
29;2023/10/11;15:50:32;466;464;463;471;466;462;463;0
30;2023/10/11;15:50:42;466;463;464;471;466;462;462;0
31;2023/10/11;15:50:52;466;464;463;470;465;462;462;0
