Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/11;15:45:42;4017;12;11;11;11;12
1;2023/10/11;15:45:52;4017;12;11;11;11;12
2;2023/10/11;15:46:02;4017;12;11;11;11;12
3;2023/10/11;15:46:12;4017;12;11;11;11;12
4;2023/10/11;15:46:22;4017;12;11;11;11;12
5;2023/10/11;15:46:32;4017;12;11;11;11;12
6;2023/10/11;15:46:42;4017;12;11;11;11;12
7;2023/10/11;15:46:52;4017;12;11;11;11;12
8;2023/10/11;15:47:02;4017;12;11;11;11;12
9;2023/10/11;15:47:12;4017;12;11;11;11;12
10;2023/10/11;15:47:22;4017;12;11;11;11;12
11;2023/10/11;15:47:32;4017;12;11;11;11;12
12;2023/10/11;15:47:42;4017;12;11;11;11;12
13;2023/10/11;15:47:52;4017;12;11;11;11;12
14;2023/10/11;15:48:02;4017;12;11;11;11;12
15;2023/10/11;15:48:12;4017;12;11;11;11;12
16;2023/10/11;15:48:22;4017;12;11;11;11;12
17;2023/10/11;15:48:32;4017;12;11;11;11;12
18;2023/10/11;15:48:42;4017;12;11;11;11;12
19;2023/10/11;15:48:52;4017;12;11;11;11;12
20;2023/10/11;15:49:02;4017;12;11;11;11;12
21;2023/10/11;15:49:12;4017;12;11;11;11;12
22;2023/10/11;15:49:22;4017;12;11;11;11;12
23;2023/10/11;15:49:32;4017;12;11;11;11;12
24;2023/10/11;15:49:42;4017;12;11;11;11;12
25;2023/10/11;15:49:52;4017;12;11;11;11;12
26;2023/10/11;15:50:02;4017;12;11;11;11;12
27;2023/10/11;15:50:12;4017;12;11;11;11;12
28;2023/10/11;15:50:22;4017;12;11;11;11;12
29;2023/10/11;15:50:32;4017;12;11;11;11;12
30;2023/10/11;15:50:42;4017;12;11;11;11;12
31;2023/10/11;15:50:52;4017;12;11;11;11;12
