Line; Datetime; PD0 (V); PD1 (V); PD2 (V); PD3 (V); PD4 (V); PD5 (degC)
42; 2023/10/11 14:55:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
43; 2023/10/11 14:55:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
44; 2023/10/11 14:55:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
45; 2023/10/11 14:56:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
46; 2023/10/11 14:56:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
47; 2023/10/11 14:56:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
48; 2023/10/11 14:56:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
49; 2023/10/11 14:56:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
50; 2023/10/11 14:56:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
51; 2023/10/11 14:57:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
52; 2023/10/11 14:57:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
53; 2023/10/11 14:57:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
54; 2023/10/11 14:57:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
55; 2023/10/11 14:57:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
56; 2023/10/11 14:57:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
57; 2023/10/11 14:58:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
58; 2023/10/11 14:58:18; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
59; 2023/10/11 14:58:28; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
60; 2023/10/11 14:58:38; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
61; 2023/10/11 14:58:48; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
62; 2023/10/11 14:58:58; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
63; 2023/10/11 14:59:08; 4.90478515625; 0.015869140625; 0.0146484375; 0.0146484375; 0.0146484375; 0.015869140625
