Line; Date; Time; I INA SPECTRO (mA); I INA OSCAR (mA); I INA MOTORS (mA); I INA BATT (mA); I INA DC_BUS (mA); I INA Q7 (mA); I INA 5V (mA); I INA 3V3 (mA)
0; 2023/10/11; 15:56:14; 1048575; 64; 0; 0; 2501; 42; 12; 7
1; 2023/10/11; 15:56:24; 0; 62; 11647; 0; 4759; 48; 23; 7
2; 2023/10/11; 15:56:34; 0; 62; 23491; 0; 7028; 49; 23; 7
