Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
10,2023/10/11,01:42:33,1515;2325;1649;2465;2636;2968;1997:1517;1517;1510;1182,,,,,,,,,,,1048575,62,0,0,2642,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.92307692307692,26.8009768009768,26.67887667887668,27.167277167277163,26.67887667887668,26.617826617826616,26.617826617826616,0.0,"32,4140625","31,75","35,640625","35,671875","35,9375","35,6875","35,8203125","31,7109375"
11,2023/10/11,01:52:43,1516;2323;1650;2465;2635;2969;1997:1517;1518;1511;1182,,,,,,,,,,,1048575,62,0,0,2591,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.92307692307692,26.739926739926737,26.67887667887668,27.228327228327224,26.8009768009768,26.67887667887668,26.739926739926737,0.0,"32,46875","31,78125","35,6875","35,734375","35,9765625","35,734375","35,859375","31,7421875"
12,2023/10/11,02:02:53,1516;2324;1650;2466;2636;2969;1997:1519;1519;1511;1181,,,,,,,,,,,1048575,62,0,0,2667,49,22,7,4.90478515625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.0146484375,26.98412698412698,26.739926739926737,26.67887667887668,27.228327228327224,26.739926739926737,26.739926739926737,26.739926739926737,0.0,"32,546875","31,8359375","35,7421875","35,7734375","36,03125","35,796875","35,921875","31,796875"
13,2023/10/11,02:13:03,1515;2323;1650;2464;2635;2968;1997:1519;1519;1512;1181,,,,,,,,,,,1048575,62,0,0,2527,44,22,6,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.04517704517704,26.86202686202686,26.739926739926737,27.289377289377285,26.86202686202686,26.8009768009768,26.86202686202686,0.0,"32,5703125","31,890625","35,8125","35,84375","36,09375","35,8515625","35,9765625","31,8515625"
14,2023/10/11,02:23:13,1515;2324;1650;2465;2636;2968;1997:1521;1522;1513;1182,,,,,,,,,,,0,52,0,0,2682,46,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.106227106227102,26.92307692307692,26.86202686202686,27.350427350427356,26.86202686202686,26.8009768009768,26.92307692307692,0.0,"32,6484375","31,9375","35,859375","35,890625","36,1328125","35,8984375","36,03125","31,8984375"
15,2023/10/11,02:33:23,1515;2324;1651;2465;2636;2968;1997:1519;1521;1513;1181,,,,,,,,,,,1048574,62,0,0,2546,45,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.167277167277163,26.92307692307692,26.92307692307692,27.411477411477414,26.92307692307692,26.92307692307692,26.98412698412698,0.0,"32,6640625","31,9765625","35,90625","35,921875","36,1484375","35,9296875","36,0703125","31,9375"
16,2023/10/11,02:43:33,1516;2324;1652;2465;2636;2969;1997:1521;1521;1513;1181,,,,,,,,,,,1048575,63,0,0,2609,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.289377289377285,27.04517704517704,26.92307692307692,27.411477411477414,26.92307692307692,26.86202686202686,26.92307692307692,0.0,"32,734375","32,0390625","35,9296875","35,96875","36,21875","35,984375","36,1015625","31,96875"
17,2023/10/11,02:53:43,1516;2323;1648;2467;2636;2969;1997:1521;1521;1513;1181,,,,,,,,,,,0,62,0,0,2641,47,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.228327228327224,26.98412698412698,26.92307692307692,27.53357753357753,26.86202686202686,26.92307692307692,27.106227106227102,0.0,"32,71875","32,0234375","35,9609375","35,984375","36,2109375","35,9921875","36,125","32,0078125"
18,2023/10/11,03:02:53,1517;2324;1650;2466;2637;2968;1997:1521;1522;1514;1181,,,,,,,,,,,0,62,0,0,2527,50,22,7,4.906005859375,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.228327228327224,26.98412698412698,26.86202686202686,27.411477411477414,26.86202686202686,26.92307692307692,27.04517704517704,0.0,"32,734375","32,03125","35,96875","36,0078125","36,2734375","36,0078125","36,15625","32,015625"
19,2023/10/11,03:13:03,1517;2323;1650;2465;2636;2969;1997:1522;1523;1514;1182,,,,,,,,,,,1048575,62,0,0,2707,45,22,7,4.9072265625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.289377289377285,27.04517704517704,26.92307692307692,27.472527472527474,26.98412698412698,26.98412698412698,26.98412698412698,0.0,"32,7734375","32,1015625","36,0078125","36,0390625","36,296875","36,0390625","36,171875","32,03125"
20,2023/10/11,03:23:13,1515;2322;1650;2465;2637;2968;1997:1523;1523;1515;1181,,,,,,,,,,,0,62,0,0,2539,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.350427350427356,27.106227106227102,27.106227106227102,27.53357753357753,27.106227106227102,27.04517704517704,27.106227106227102,0.0,"32,8359375","32,1171875","36,0625","36,0625","36,3359375","36,0625","36,203125","32,09375"
21,2023/10/11,03:33:23,1516;2324;1650;2466;2636;2968;1997:1523;1523;1515;1182,,,,,,,,,,,1048574,62,0,0,2521,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,27.411477411477414,27.228327228327224,27.167277167277163,27.5946275946276,27.167277167277163,27.167277167277163,27.228327228327224,0.0,"32,90625","32,171875","36,109375","36,1328125","36,3984375","36,15625","36,2890625","32,1484375"
22,2023/10/11,03:43:33,1516;2323;1650;2465;2637;2967;1997:1525;1525;1517;1182,,,,,,,,,,,0,62,0,0,2544,49,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.472527472527474,27.228327228327224,27.228327228327224,27.655677655677657,27.228327228327224,27.106227106227102,27.228327228327224,0.0,"32,9921875","32,265625","36,15625","36,203125","36,453125","36,21875","36,328125","32,203125"
23,2023/10/11,03:53:43,1516;2323;1651;2465;2635;2968;1997:1525;1525;1517;1181,,,,,,,,,,,0,52,0,0,2693,49,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,27.472527472527474,27.289377289377285,27.167277167277163,27.655677655677657,27.167277167277163,27.167277167277163,27.167277167277163,0.0,"33,03125","32,2734375","36,1875","36,2734375","36,5078125","36,2578125","36,3984375","32,2421875"
24,2023/10/11,04:03:53,1516;2323;1651;2465;2635;2967;1997:1525;1526;1517;1181,,,,,,,,,,,0,62,0,0,2519,44,22,6,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.015869140625,0.015869140625,27.53357753357753,27.289377289377285,27.228327228327224,27.77777777777778,27.289377289377285,27.289377289377285,27.350427350427356,0.0,"33,078125","32,296875","36,25","36,2734375","36,5546875","36,3125","36,4453125","32,28125"
25,2023/10/11,04:14:03,1516;2323;1651;2465;2637;2968;1997:1525;1526;1518;1181,,,,,,,,,,,1048575,63,0,0,2632,46,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,27.53357753357753,27.350427350427356,27.228327228327224,27.77777777777778,27.228327228327224,27.228327228327224,27.228327228327224,0.0,"33,1015625","32,3671875","36,2890625","36,3203125","36,6171875","36,328125","36,453125","32,3125"
