Line; Date; Time; PT0 (degC); PT1 (degC); PT2 (degC); PT3 (degC); PT4 (degC); PT5 (degC); PT6 (degC); PT7 (degC)
0; 2023/10/11; 15:56:14; 28.388278388278387; 28.266178266178265; 28.205128205128204; 28.754578754578752; 28.266178266178265; 28.205128205128204; 28.144078144078144; 0.0
1; 2023/10/11; 15:56:24; 28.449328449328448; 28.388278388278387; 28.266178266178265; 28.815628815628813; 28.63247863247863; 28.327228327228326; 28.205128205128204; 0.0
2; 2023/10/11; 15:56:34; 28.449328449328448; 28.205128205128204; 28.205128205128204; 28.754578754578752; 28.266178266178265; 28.144078144078144; 28.266178266178265; 0.0
