Line;Date;Time;I INA SPECTRO (mA);I INA OSCAR (mA);I INA MOTORS (mA);I INA BATT (mA);I INA DC_BUS (mA);I INA Q7 (mA);I INA 5V (mA);I INA 3V3 (mA)
93;2023/10/11;15:04:08;1;62;0;0;2536;46;22;7
94;2023/10/11;15:04:18;0;52;0;0;2357;42;22;6
95;2023/10/11;15:04:28;0;52;0;0;2528;47;22;7
96;2023/10/11;15:04:38;0;52;0;0;2650;48;22;7
97;2023/10/11;15:04:48;0;51;0;0;2643;47;22;7
98;2023/10/11;15:04:58;1048575;63;0;0;2692;45;22;7
99;2023/10/11;15:05:08;1048575;63;0;0;2685;47;22;7
100;2023/10/11;15:05:18;1048575;63;0;0;2651;45;22;7
101;2023/10/11;15:05:28;1048575;63;0;0;2461;46;22;6
102;2023/10/11;15:05:38;0;62;0;0;2644;46;22;7
103;2023/10/11;15:05:48;0;63;0;0;2685;49;22;7
104;2023/10/11;15:05:58;1048575;62;0;0;2748;49;22;7
105;2023/10/11;15:06:08;0;62;0;0;2731;48;22;7
106;2023/10/11;15:06:18;0;62;0;0;2569;46;22;7
107;2023/10/11;15:06:28;1048575;62;0;0;2551;45;22;7
108;2023/10/11;15:06:38;0;63;0;0;2415;41;22;6
109;2023/10/11;15:06:48;0;63;0;0;2592;49;22;7
110;2023/10/11;15:06:58;1048575;62;0;0;2593;45;22;7
111;2023/10/11;15:07:08;0;62;0;0;2720;45;22;7
112;2023/10/11;15:07:18;1048575;62;0;0;2715;48;22;7
113;2023/10/11;15:07:28;1048575;62;0;0;2709;49;22;7
114;2023/10/11;15:07:38;0;62;0;0;2538;47;22;7
115;2023/10/11;15:07:48;1048575;62;0;0;2417;42;22;6
116;2023/10/11;15:07:58;1048575;63;0;0;2585;47;22;7
117;2023/10/11;15:08:08;1048574;63;0;0;2677;49;22;7
118;2023/10/11;15:08:18;1048575;62;0;0;2713;46;22;7
119;2023/10/11;15:08:28;1;62;0;0;2692;45;22;7
120;2023/10/11;15:08:38;1048575;62;0;0;2531;47;22;7
121;2023/10/11;15:08:48;1048575;62;0;0;2539;49;22;7
122;2023/10/11;15:08:58;0;62;0;0;2396;44;22;6
123;2023/10/11;15:09:08;0;52;0;0;2574;45;22;7
124;2023/10/11;15:09:18;0;52;0;0;2648;47;22;7
125;2023/10/11;15:09:28;0;52;0;0;2655;49;22;7
126;2023/10/11;15:09:38;0;62;0;0;2708;48;22;7
127;2023/10/11;15:09:48;1048575;62;0;0;2704;47;22;7
128;2023/10/11;15:09:58;1048575;62;0;0;2557;48;22;7
129;2023/10/11;15:10:08;0;62;0;0;2443;45;22;6
130;2023/10/11;15:10:18;1048575;62;0;0;2607;47;22;7
131;2023/10/11;15:10:28;1048575;62;0;0;2644;45;22;7
132;2023/10/11;15:10:38;1048575;62;0;0;2699;45;22;7
133;2023/10/11;15:10:48;0;62;0;0;2694;48;22;7
134;2023/10/11;15:10:58;1048575;63;0;0;2576;47;22;7
135;2023/10/11;15:11:08;1;62;0;0;2534;45;22;7
136;2023/10/11;15:11:18;1048575;63;0;0;2431;41;22;6
137;2023/10/11;15:11:28;1048575;63;0;0;2559;49;22;7
138;2023/10/11;15:11:38;0;62;0;0;2625;47;22;7
139;2023/10/11;15:11:48;0;62;0;0;2732;45;22;7
140;2023/10/11;15:11:58;1048574;62;0;0;2692;45;22;7
141;2023/10/11;15:12:08;1048575;62;0;0;2703;49;22;7
142;2023/10/11;15:12:18;0;62;0;0;2552;47;22;7
143;2023/10/11;15:12:28;1048575;62;0;0;2417;42;22;6
144;2023/10/11;15:12:38;1048575;62;0;0;2581;47;22;7
145;2023/10/11;15:12:48;0;62;0;0;2682;48;22;7
146;2023/10/11;15:12:58;0;62;0;0;2728;47;22;7
147;2023/10/11;15:13:08;0;62;0;0;2699;45;22;7
148;2023/10/11;15:13:18;1048575;62;0;0;2551;45;22;7
149;2023/10/11;15:13:28;1048575;62;0;0;2547;48;22;7
150;2023/10/11;15:13:38;1048575;62;0;0;2510;45;22;6
151;2023/10/11;15:13:48;1048575;52;0;0;2622;46;22;7
152;2023/10/11;15:13:58;1048575;52;0;0;2680;47;22;7
153;2023/10/11;15:14:08;1048575;52;0;0;2721;49;22;7
154;2023/10/11;15:14:18;0;52;0;0;2555;49;22;7
155;2023/10/11;15:14:28;0;63;0;0;2569;46;22;7
156;2023/10/11;15:14:38;0;62;0;0;2560;45;22;7
157;2023/10/11;15:14:48;0;63;0;0;2441;44;22;6
158;2023/10/11;15:14:58;0;63;0;0;2615;48;22;7
159;2023/10/11;15:15:08;1048575;63;0;0;2714;46;22;7
160;2023/10/11;15:15:18;0;63;0;0;2714;47;22;7
161;2023/10/11;15:15:28;1048575;62;0;0;2535;47;22;7
162;2023/10/11;15:15:38;0;62;0;0;2546;48;22;7
163;2023/10/11;15:15:48;0;62;0;0;2563;45;22;7
164;2023/10/11;15:15:58;1;62;0;0;2451;42;22;6
165;2023/10/11;15:16:08;0;62;0;0;2607;48;22;7
166;2023/10/11;15:16:18;1048575;62;0;0;2661;48;22;7
167;2023/10/11;15:16:28;0;62;0;0;2599;45;22;7
168;2023/10/11;15:16:38;0;62;0;0;2704;45;22;7
169;2023/10/11;15:16:48;0;62;0;0;2554;45;22;7
170;2023/10/11;15:16:58;1048575;62;0;0;2549;49;22;7
171;2023/10/11;15:17:08;1048575;62;0;0;2405;45;22;6
172;2023/10/11;15:17:18;0;62;0;0;2588;45;22;7
173;2023/10/11;15:17:28;1048575;62;0;0;2630;45;22;7
174;2023/10/11;15:17:38;0;62;0;0;2552;47;22;7
175;2023/10/11;15:17:48;0;63;0;0;2713;49;22;7
176;2023/10/11;15:17:58;1048575;63;0;0;2667;46;22;7
177;2023/10/11;15:18:08;1048575;62;0;0;2616;46;22;7
178;2023/10/11;15:18:18;1;62;0;0;2447;44;22;6
179;2023/10/11;15:18:28;1048575;62;0;0;2647;50;22;7
180;2023/10/11;15:18:38;0;52;0;0;2527;45;22;7
181;2023/10/11;15:18:48;0;52;0;0;2660;45;22;7
182;2023/10/11;15:18:58;0;52;0;0;2673;49;22;7
183;2023/10/11;15:19:08;0;62;0;0;2700;49;22;7
184;2023/10/11;15:19:18;0;62;0;0;2702;45;22;7
185;2023/10/11;15:19:28;1048575;63;0;0;2382;42;22;6
186;2023/10/11;15:19:38;1048575;62;0;0;2543;45;22;7
187;2023/10/11;15:19:48;0;62;0;0;2533;47;22;7
188;2023/10/11;15:19:58;0;62;0;0;2618;47;22;7
189;2023/10/11;15:20:08;1048575;63;0;0;2722;45;22;7
190;2023/10/11;15:20:18;1048574;63;0;0;2705;45;22;7
191;2023/10/11;15:20:28;0;63;0;0;2684;48;22;7
192;2023/10/11;15:20:38;1048575;62;0;0;2394;45;22;6
193;2023/10/11;15:20:48;1;62;0;0;2554;46;22;7
194;2023/10/11;15:20:58;0;63;0;0;2543;45;22;7
195;2023/10/11;15:21:08;0;63;0;0;2632;45;22;7
196;2023/10/11;15:21:18;0;62;0;0;2667;48;22;7
197;2023/10/11;15:21:28;1048575;62;0;0;2724;47;22;7
198;2023/10/11;15:21:38;0;62;0;0;2719;45;22;7
199;2023/10/11;15:21:48;0;62;0;0;2378;41;22;6
200;2023/10/11;15:21:58;0;62;0;0;2556;47;22;7
201;2023/10/11;15:22:08;1048575;62;0;0;2590;48;22;7
202;2023/10/11;15:22:18;1048575;62;0;0;2588;46;22;7
203;2023/10/11;15:22:28;1048575;63;0;0;2647;46;22;7
204;2023/10/11;15:22:38;0;63;0;0;2717;48;22;7
205;2023/10/11;15:22:48;0;62;0;0;2770;50;22;7
206;2023/10/11;15:22:58;0;62;0;0;2406;45;22;6
207;2023/10/11;15:23:08;1048575;62;0;0;2747;45;22;7
208;2023/10/11;15:23:18;0;52;0;0;2508;45;22;7
209;2023/10/11;15:23:28;1048575;52;0;0;2523;48;22;7
210;2023/10/11;15:23:38;0;52;0;0;2543;48;22;7
211;2023/10/11;15:23:48;1048575;62;0;0;2589;45;22;7
212;2023/10/11;15:23:58;0;62;0;0;2719;45;22;7
213;2023/10/11;15:24:08;1048575;62;0;0;2379;41;22;6
214;2023/10/11;15:24:18;0;62;0;0;2552;48;22;7
215;2023/10/11;15:24:28;0;62;0;0;2550;47;22;7
216;2023/10/11;15:24:38;1048575;62;0;0;2550;45;22;7
217;2023/10/11;15:24:48;0;62;0;0;2552;45;22;7
218;2023/10/11;15:24:58;0;62;0;0;2600;48;22;7
219;2023/10/11;15:25:08;1;62;0;0;2658;47;22;7
220;2023/10/11;15:25:18;0;63;0;0;2522;43;22;6
221;2023/10/11;15:25:28;1048575;62;0;0;2703;45;22;7
222;2023/10/11;15:25:38;0;62;0;0;2552;48;22;7
223;2023/10/11;15:25:48;1048575;62;0;0;2555;47;22;7
224;2023/10/11;15:25:58;0;62;0;0;2531;45;22;7
225;2023/10/11;15:26:08;1048575;62;0;0;2594;45;22;7
226;2023/10/11;15:26:18;0;62;0;0;2675;48;22;7
227;2023/10/11;15:26:28;0;62;0;0;2446;45;22;6
228;2023/10/11;15:26:38;0;62;0;0;2614;48;22;7
229;2023/10/11;15:26:48;1048575;62;0;0;2598;46;22;7
230;2023/10/11;15:26:58;0;62;0;0;2606;49;22;7
231;2023/10/11;15:27:08;1048575;62;0;0;2593;50;22;7
232;2023/10/11;15:27:18;0;62;0;0;2552;45;22;7
233;2023/10/11;15:27:28;1048575;62;0;0;2679;46;22;7
234;2023/10/11;15:27:38;0;62;0;0;2519;41;22;6
235;2023/10/11;15:27:48;0;62;0;0;2548;48;22;7
236;2023/10/11;15:27:58;0;52;0;0;2492;48;22;7
237;2023/10/11;15:28:08;1048575;52;0;0;2516;46;22;7
238;2023/10/11;15:28:18;0;52;0;0;2560;46;22;7
239;2023/10/11;15:28:28;1048575;63;0;0;2697;48;22;7
240;2023/10/11;15:28:38;0;63;0;0;2718;49;22;7
241;2023/10/11;15:28:48;1048575;62;0;0;2379;44;22;6
242;2023/10/11;15:28:58;1048575;62;0;0;2532;45;22;7
243;2023/10/11;15:29:08;0;62;0;0;2551;47;22;7
244;2023/10/11;15:29:18;0;63;0;0;2557;48;22;7
245;2023/10/11;15:29:28;1048575;62;0;0;2598;46;22;7
246;2023/10/11;15:29:38;1048575;62;0;0;2701;45;22;7
247;2023/10/11;15:29:48;1048575;62;0;0;2732;47;22;7
248;2023/10/11;15:29:58;0;62;0;0;2378;44;22;6
249;2023/10/11;15:30:08;1048575;62;0;0;2550;47;22;7
250;2023/10/11;15:30:18;0;62;0;0;2569;45;22;7
251;2023/10/11;15:30:28;0;62;0;0;2563;45;22;7
252;2023/10/11;15:30:38;1048575;62;0;0;2564;48;22;7
253;2023/10/11;15:30:48;0;62;0;0;2652;48;22;7
254;2023/10/11;15:30:58;1048575;62;0;0;2698;47;22;7
255;2023/10/11;15:31:08;1048575;62;0;0;2594;42;22;6
256;2023/10/11;15:31:18;0;62;0;0;2551;45;22;7
257;2023/10/11;15:31:28;0;62;0;0;2549;50;22;7
258;2023/10/11;15:31:38;1048575;62;0;0;2531;47;22;7
259;2023/10/11;15:31:48;0;62;0;0;2548;45;22;7
260;2023/10/11;15:31:58;1048575;62;0;0;2590;47;22;7
261;2023/10/11;15:32:08;1048575;62;0;0;2678;48;22;7
262;2023/10/11;15:32:18;0;62;0;0;2520;45;22;6
263;2023/10/11;15:32:28;1048575;62;0;0;2627;45;22;7
264;2023/10/11;15:32:38;1048575;52;0;0;2623;46;22;7
265;2023/10/11;15:32:48;1048575;52;0;0;2538;48;22;7
266;2023/10/11;15:32:58;1048575;52;0;0;2531;47;22;7
267;2023/10/11;15:33:08;1048575;62;0;0;2568;46;22;7
268;2023/10/11;15:33:18;1048574;62;0;0;2665;45;22;7
269;2023/10/11;15:33:28;1048575;63;0;0;2527;42;22;6
270;2023/10/11;15:33:38;1048575;63;0;0;2720;48;22;7
271;2023/10/11;15:33:48;0;62;0;0;2678;45;22;7
272;2023/10/11;15:33:58;1048575;63;0;0;2566;45;22;7
273;2023/10/11;15:34:08;0;62;0;0;2569;48;22;7
274;2023/10/11;15:34:18;1048575;62;0;0;2546;49;22;7
275;2023/10/11;15:34:28;1048575;62;0;0;2589;46;22;7
276;2023/10/11;15:34:38;0;62;0;0;2444;45;22;6
277;2023/10/11;15:34:48;0;63;0;0;2718;46;22;7
278;2023/10/11;15:34:58;0;63;0;0;2710;49;22;7
279;2023/10/11;15:35:08;0;62;0;0;2674;48;22;7
280;2023/10/11;15:35:18;1;62;0;0;2587;46;22;7
281;2023/10/11;15:35:28;1048575;62;0;0;2559;45;22;7
282;2023/10/11;15:35:38;0;62;0;0;2554;50;22;7
283;2023/10/11;15:35:48;1048575;62;0;0;2437;45;22;6
284;2023/10/11;15:35:58;1048575;62;0;0;2576;46;22;7
285;2023/10/11;15:36:08;0;62;0;0;2675;45;22;7
286;2023/10/11;15:36:18;0;62;0;0;2708;48;22;7
287;2023/10/11;15:36:28;1048575;62;0;0;2672;48;22;7
