Line,Date,Time,POT1 ,POT2 ,POT3 ,POT4 ,POT5 ,POT6 ,POTref ,PT1 ,PT2 ,PT3 ,PTref,I INA SPECTRO (mA),I INA OSCAR (mA),I INA MOTORS (mA),I INA BATT (mA),I INA DC_BUS (mA),I INA Q7 (mA),I INA 5V (mA),I INA 3V3 (mA),PD0 (V),PD1 (V),PD2 (V),PD3 (V),PD4 (V),PD5 (degC),PT0 (degC),PT1 (degC),PT2 (degC),PT3 (degC),PT4 (degC),PT5 (degC),PT6 (degC),PT7 (degC),T INA SPECTRO (degC),T INA OSCAR (degC),T INA MOTORS (degC),T INA BATT (degC),T INA DC_BUS (degC),T INA Q7 (degC),T INA 5V (degC),T INA 3V3 (degC)
14,2023/10/10,19:17:12,1516,2325,1651,2466,2637,2972,1997:1499,1501,1492,1181,,1048575,52,0,0,2651,46,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.51892551892552,25.33577533577533,25.213675213675213,25.76312576312576,25.152625152625152,25.274725274725277,25.274725274725277,0.0,"30,9765625","30,3125","34,1875","34,2421875","34,5","34,25","34,375","30,265625"
15,2023/10/10,19:27:22,1515,2325,1651,2465,2638,2971,1997:1498,1501,1492,1181,,0,63,0,0,2645,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.51892551892552,25.274725274725277,25.213675213675213,25.824175824175825,25.213675213675213,25.152625152625152,25.274725274725277,0.0,"30,9921875","30,328125","34,203125","34,2578125","34,515625","34,2734375","34,3984375","30,2734375"
16,2023/10/10,19:37:32,1516,2325,1653,2465,2637,2971,1996:1499,1501,1492,1181,,0,62,0,0,2354,46,22,6,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,25.51892551892552,25.33577533577533,25.213675213675213,25.824175824175825,25.213675213675213,25.274725274725277,25.274725274725277,0.0,"31,046875","30,34375","34,234375","34,2734375","34,5234375","34,28125","34,40625","30,296875"
17,2023/10/10,19:47:42,1516,2323,1651,2465,2637,2972,1997:1499,1502,1493,1181,,0,62,0,0,2663,47,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,25.579975579975574,25.33577533577533,25.274725274725277,25.88522588522589,25.33577533577533,25.33577533577533,25.33577533577533,0.0,"31,0703125","30,3828125","34,2578125","34,3046875","34,5625","34,3125","34,4375","30,3359375"
18,2023/10/10,19:57:52,1518,2325,1652,2467,2638,2972,1997:1501,1501,1494,1181,,0,62,0,0,2527,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.579975579975574,25.33577533577533,25.274725274725277,25.824175824175825,25.33577533577533,25.213675213675213,25.274725274725277,0.0,"31,078125","30,4140625","34,3203125","34,3359375","34,609375","34,359375","34,4921875","30,375"
19,2023/10/10,20:29:23,1515,2324,1652,2466,2639,2971,1997:1502,1503,1495,1181,,1048575,62,0,0,2537,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.015869140625,25.76312576312576,25.51892551892552,25.457875457875456,26.007326007326007,25.51892551892552,25.457875457875456,25.51892551892552,0.0,"31,265625","30,5546875","34,46875","34,4921875","34,7578125","34,5078125","34,6328125","30,5078125"
20,2023/10/10,20:39:33,1515,2325,1650,2467,2638,2971,1997:1503,1503,1495,1181,,1048575,62,0,0,2524,46,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.76312576312576,25.579975579975574,25.51892551892552,26.007326007326007,25.51892551892552,25.457875457875456,25.51892551892552,0.0,"31,265625","30,578125","34,5","34,5234375","34,78125","34,53125","34,671875","30,546875"
21,2023/10/10,20:49:43,1517,2322,1651,2466,2637,2971,1997:1503,1504,1495,1181,,1,62,0,0,2660,45,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.88522588522589,25.64102564102564,25.51892551892552,26.068376068376068,25.51892551892552,25.457875457875456,25.579975579975574,0.0,"31,3125","30,609375","34,5234375","34,546875","34,796875","34,5546875","34,6875","30,5703125"
22,2023/10/10,20:59:53,1517,2324,1650,2467,2637,2972,1997:1503,1505,1496,1181,,1048575,63,0,0,2587,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.824175824175825,25.579975579975574,25.579975579975574,26.007326007326007,25.51892551892552,25.51892551892552,25.579975579975574,0.0,"31,3046875","30,6171875","34,53125","34,5546875","34,796875","34,5625","34,6953125","30,59375"
23,2023/10/10,21:10:03,1518,2324,1651,2467,2638,2971,1997:1504,1505,1496,1181,,1048575,62,0,0,2649,48,22,7,4.903564453125,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.88522588522589,25.579975579975574,25.51892551892552,26.12942612942613,25.579975579975574,25.579975579975574,25.64102564102564,0.0,"31,3359375","30,6484375","34,5625","34,5859375","34,84375","34,59375","34,7265625","30,609375"
24,2023/10/10,21:20:13,1517,2325,1649,2465,2638,2972,1997:1505,1505,1497,1181,,1048575,52,0,0,2426,41,22,6,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.88522588522589,25.7020757020757,25.64102564102564,26.12942612942613,25.64102564102564,25.579975579975574,25.7020757020757,0.0,"31,3671875","30,6640625","34,609375","34,6328125","34,8671875","34,65625","34,7734375","30,65625"
25,2023/10/10,21:30:23,1516,2323,1651,2466,2636,2971,1997:1505,1506,1497,1181,,0,63,0,0,2581,48,22,7,4.9072265625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,25.88522588522589,25.76312576312576,25.7020757020757,26.19047619047619,25.7020757020757,25.64102564102564,25.7020757020757,0.0,"31,421875","30,7578125","34,6484375","34,671875","34,9375","34,6875","34,8046875","30,6796875"
26,2023/10/10,21:40:33,1516,2323,1651,2466,2637,2971,1997:1506,1507,1498,1181,,1048575,62,0,0,2522,48,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.007326007326007,25.824175824175825,25.7020757020757,26.19047619047619,25.76312576312576,25.7020757020757,25.824175824175825,0.0,"31,4921875","30,7578125","34,7109375","34,765625","34,9765625","34,7421875","34,875","30,765625"
27,2023/10/10,21:50:43,1516,2323,1651,2466,2638,2970,1997:1506,1507,1499,1181,,1048575,62,0,0,2527,49,22,7,0.015869140625,0.015869140625,0.0146484375,0.015869140625,0.0146484375,0.0146484375,26.007326007326007,25.76312576312576,25.7020757020757,26.19047619047619,25.7020757020757,25.7020757020757,25.76312576312576,0.0,"31,5546875","30,84375","34,7734375","34,7734375","35,03125","34,796875","34,921875","30,8046875"
28,2023/10/10,22:00:53,1516,2324,1651,2465,2636,2972,1997:1506,1507,1499,1182,,0,62,0,0,2715,45,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,26.068376068376068,25.88522588522589,25.76312576312576,26.25152625152625,25.76312576312576,25.7020757020757,25.76312576312576,0.0,"31,6015625","30,8828125","34,7890625","34,84375","35,078125","34,8359375","34,9765625","30,8359375"
29,2023/10/10,22:11:03,1516,2323,1652,2465,2639,2971,1997:1507,1508,1500,1181,,0,62,0,0,2568,45,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.068376068376068,25.88522588522589,25.824175824175825,26.37362637362637,25.824175824175825,25.88522588522589,25.946275946275943,0.0,"31,6484375","30,890625","34,8046875","34,8515625","35,0859375","34,8671875","34,984375","30,890625"
30,2023/10/10,22:21:13,1516,2325,1651,2467,2637,2971,1997:1507,1509,1500,1181,,1048575,62,0,0,2530,47,22,7,4.906005859375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.12942612942613,25.946275946275943,25.824175824175825,26.37362637362637,25.824175824175825,25.88522588522589,25.88522588522589,0.0,"31,671875","30,953125","34,8515625","34,8671875","35,1484375","34,9140625","35,0078125","30,890625"
31,2023/10/10,22:31:23,1516,2324,1652,2466,2638,2971,1997:1508,1509,1500,1181,,1048575,62,0,0,2499,44,22,6,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,26.19047619047619,25.88522588522589,25.824175824175825,26.37362637362637,25.76312576312576,25.824175824175825,25.88522588522589,0.0,"31,703125","30,953125","34,875","34,8984375","35,171875","34,90625","35,03125","30,921875"
32,2023/10/10,22:40:33,1516,2324,1651,2466,2638,2971,1997:1508,1509,1500,1181,,0,62,0,0,2659,45,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.12942612942613,25.88522588522589,25.88522588522589,26.434676434676437,25.88522588522589,25.88522588522589,25.88522588522589,0.0,"31,7265625","31,0078125","34,90625","34,8984375","35,203125","34,9375","35,0625","30,9375"
33,2023/10/10,22:50:43,1517,2325,1652,2466,2638,2971,1997:1509,1510,1501,1181,,0,52,0,0,2518,49,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.0146484375,26.19047619047619,26.007326007326007,25.88522588522589,26.434676434676437,25.946275946275943,25.88522588522589,25.946275946275943,0.0,"31,765625","31,0390625","34,9296875","34,9609375","35,2265625","34,9765625","35,1328125","30,984375"
34,2023/10/10,23:00:53,1517,2323,1651,2464,2635,2970,1997:1509,1510,1502,1181,,1048575,63,0,0,2634,44,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.31257631257631,26.12942612942613,26.007326007326007,26.49572649572649,26.068376068376068,26.007326007326007,26.068376068376068,0.0,"31,8203125","31,078125","34,984375","35,0625","35,28125","35,0390625","35,1796875","31,0546875"
35,2023/10/10,23:11:03,1517,2321,1650,2465,2637,2971,1997:1510,1510,1503,1181,,0,62,0,0,2444,42,22,6,0.0146484375,0.0146484375,0.0146484375,0.015869140625,0.0146484375,0.015869140625,26.31257631257631,26.12942612942613,26.007326007326007,26.556776556776555,26.068376068376068,26.068376068376068,26.007326007326007,0.0,"31,875","31,1328125","35,046875","35,078125","35,359375","35,1015625","35,2421875","31,09375"
36,2023/10/10,23:21:13,1515,2323,1650,2464,2637,2970,1997:1511,1511,1503,1181,,0,62,0,0,2525,48,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.434676434676437,26.19047619047619,26.068376068376068,26.67887667887668,26.12942612942613,26.068376068376068,26.19047619047619,0.0,"31,921875","31,1875","35,0859375","35,1640625","35,3984375","35,125","35,265625","31,1484375"
37,2023/10/10,23:31:23,1515,2323,1650,2465,2637,2969,1997:1511,1512,1504,1181,,1048575,62,0,0,2727,49,22,7,0.015869140625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.434676434676437,26.25152625152625,26.19047619047619,26.67887667887668,26.19047619047619,26.19047619047619,26.19047619047619,0.0,"31,96875","31,2109375","35,1484375","35,1875","35,4375","35,171875","35,34375","31,1796875"
38,2023/10/10,23:41:33,1515,2324,1651,2465,2637,2970,1997:1512,1512,1504,1182,,0,62,0,0,2584,49,22,7,0.0146484375,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.434676434676437,26.25152625152625,26.19047619047619,26.67887667887668,26.12942612942613,26.12942612942613,26.25152625152625,0.0,"32,0","31,25","35,1953125","35,203125","35,46875","35,2109375","35,3359375","31,21875"
39,2023/10/10,23:51:43,1517,2324,1651,2465,2636,2970,1997:1512,1513,1505,1181,,1048575,52,0,0,2575,48,22,7,4.90478515625,0.015869140625,0.0146484375,0.0146484375,0.0146484375,0.015869140625,26.49572649572649,26.25152625152625,26.19047619047619,26.739926739926737,26.12942612942613,26.12942612942613,26.25152625152625,0.0,"32,0234375","31,2890625","35,1953125","35,2421875","35,5234375","35,25","35,3828125","31,2734375"
