Line;Date;Time;PD0 (V);PD1 (V);PD2 (V);PD3 (V);PD4 (V);PD5 (degC)
0;2023/10/10;16:29:05;2.451171875;0.00732421875;0.006103515625;0.00732421875;0.00732421875;0.00732421875
1;2023/10/10;16:29:15;4.906005859375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
2;2023/10/10;16:29:25;4.903564453125;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
3;2023/10/10;16:29:35;4.906005859375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
4;2023/10/10;16:29:45;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
5;2023/10/10;16:29:55;4.906005859375;0.0146484375;0.013427734375;0.0146484375;0.0146484375;0.0146484375
6;2023/10/10;16:30:05;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
7;2023/10/10;16:30:15;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
8;2023/10/10;16:30:25;4.906005859375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
9;2023/10/10;16:30:35;4.876708984375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
10;2023/10/10;16:30:45;4.90234375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
11;2023/10/10;16:30:55;4.903564453125;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
12;2023/10/10;16:31:05;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
13;2023/10/10;16:31:15;4.906005859375;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
14;2023/10/10;16:31:25;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
15;2023/10/10;16:31:35;4.906005859375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
16;2023/10/10;16:31:45;4.886474609375;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
17;2023/10/10;16:31:55;4.9072265625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
18;2023/10/10;16:32:05;4.906005859375;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
19;2023/10/10;16:32:15;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
20;2023/10/10;16:32:25;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
21;2023/10/10;16:32:35;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
22;2023/10/10;16:32:45;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
23;2023/10/10;16:32:55;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
24;2023/10/10;16:33:05;4.90478515625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
25;2023/10/10;16:33:15;4.90478515625;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
26;2023/10/10;16:33:25;4.906005859375;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
27;2023/10/10;16:33:35;4.9072265625;0.0146484375;0.0146484375;0.0146484375;0.0146484375;0.0146484375
28;2023/10/10;16:33:45;4.903564453125;0.015869140625;0.0146484375;0.0146484375;0.0146484375;0.0146484375
