Line, Datetime, PT0 (degC), PT1 (degC), PT2 (degC), PT3 (degC), PT4 (degC), PT5 (degC), PT6 (degC), PT7 (degC)
0, 2023/10/10 16:29:05, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.58852258852259, 0.0
1, 2023/10/10 16:29:15, 22.64957264957265, 22.58852258852259, 22.405372405372407, 22.58852258852259, 22.58852258852259, 22.46642246642247, 22.58852258852259, 0.0
2, 2023/10/10 16:29:25, 22.64957264957265, 22.52747252747253, 22.52747252747253, 22.58852258852259, 22.52747252747253, 22.46642246642247, 22.58852258852259, 0.0
3, 2023/10/10 16:29:35, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.52747252747253, 21.978021978021978, 22.46642246642247, 22.58852258852259, 0.0
4, 2023/10/10 16:29:45, 22.64957264957265, 22.52747252747253, 22.52747252747253, 22.52747252747253, 22.64957264957265, 22.46642246642247, 22.52747252747253, 0.0
5, 2023/10/10 16:29:55, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.52747252747253, 22.52747252747253, 22.52747252747253, 22.58852258852259, 0.0
6, 2023/10/10 16:30:05, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.58852258852259, 22.58852258852259, 22.46642246642247, 22.52747252747253, 0.0
7, 2023/10/10 16:30:15, 22.64957264957265, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.52747252747253, 0.0
8, 2023/10/10 16:30:25, 22.58852258852259, 22.52747252747253, 22.58852258852259, 22.58852258852259, 23.1990231990232, 22.344322344322347, 22.52747252747253, 0.0
9, 2023/10/10 16:30:35, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.46642246642247, 22.58852258852259, 0.0
10, 2023/10/10 16:30:45, 22.58852258852259, 22.58852258852259, 22.52747252747253, 22.58852258852259, 22.58852258852259, 22.46642246642247, 22.52747252747253, 0.0
11, 2023/10/10 16:30:55, 22.64957264957265, 22.52747252747253, 22.52747252747253, 22.58852258852259, 22.64957264957265, 22.46642246642247, 22.52747252747253, 0.0
12, 2023/10/10 16:31:05, 22.58852258852259, 22.52747252747253, 22.46642246642247, 22.58852258852259, 21.794871794871796, 22.46642246642247, 22.58852258852259, 0.0
13, 2023/10/10 16:31:15, 22.64957264957265, 22.52747252747253, 22.58852258852259, 22.52747252747253, 22.64957264957265, 22.46642246642247, 22.52747252747253, 0.0
14, 2023/10/10 16:31:25, 22.64957264957265, 22.58852258852259, 22.52747252747253, 22.58852258852259, 22.71062271062271, 22.52747252747253, 22.58852258852259, 0.0
15, 2023/10/10 16:31:35, 22.64957264957265, 22.52747252747253, 22.46642246642247, 22.58852258852259, 22.71062271062271, 22.52747252747253, 22.58852258852259, 0.0
16, 2023/10/10 16:31:45, 22.64957264957265, 22.52747252747253, 22.52747252747253, 22.58852258852259, 22.71062271062271, 22.405372405372407, 22.52747252747253, 0.0
17, 2023/10/10 16:31:55, 22.64957264957265, 22.58852258852259, 22.52747252747253, 22.58852258852259, 22.771672771672772, 22.46642246642247, 22.64957264957265, 0.0
18, 2023/10/10 16:32:05, 22.64957264957265, 22.46642246642247, 22.58852258852259, 22.52747252747253, 22.64957264957265, 22.46642246642247, 22.58852258852259, 0.0
