Line;Date;Time;T INA SPECTRO (degC);T INA OSCAR (degC);T INA MOTORS (degC);T INA BATT (degC);T INA DC_BUS (degC);T INA Q7 (degC);T INA 5V (degC);T INA 3V3 (degC)
0;2023/10/11;00:00:03;32,046875;31,3203125;35,21875;35,265625;35,5390625;35,265625;35,40625;31,265625
1;2023/10/11;00:00:13;32,0390625;31,3046875;35,2265625;35,265625;35,515625;35,2578125;35,390625;31,296875
2;2023/10/11;00:00:23;32,0390625;31,3125;35,2421875;35,25;35,5234375;35,265625;35,4140625;31,2890625
3;2023/10/11;00:00:33;32,046875;31,328125;35,2265625;35,2734375;35,5234375;35,2734375;35,40625;31,2734375
4;2023/10/11;00:00:43;32,0390625;31,296875;35,2265625;35,2421875;35,5390625;35,265625;35,3984375;31,28125
5;2023/10/11;00:00:53;32,0546875;31,3125;35,234375;35,2421875;35,5546875;35,2578125;35,375;31,2734375
6;2023/10/11;00:01:03;32,046875;31,3125;35,2265625;35,25;35,515625;35,28125;35,3984375;31,28125
7;2023/10/11;00:01:13;32,0390625;31,2890625;35,25;35,2578125;35,53125;35,265625;35,3984375;31,28125
8;2023/10/11;00:01:23;32,0390625;31,3203125;35,2265625;35,265625;35,53125;35,265625;35,390625;31,2734375
9;2023/10/11;00:01:33;32,046875;31,296875;35,234375;35,265625;35,53125;35,265625;35,40625;31,2578125
10;2023/10/11;00:01:43;32,0546875;31,3046875;35,2421875;35,28125;35,5078125;35,265625;35,40625;31,265625
11;2023/10/11;00:01:53;32,0546875;31,3203125;35,2265625;35,265625;35,53125;35,2578125;35,40625;31,2734375
12;2023/10/11;00:02:03;32,0546875;31,3125;35,234375;35,2734375;35,5390625;35,2734375;35,3828125;31,2890625
13;2023/10/11;00:02:13;32,0625;31,3125;35,2265625;35,265625;35,5390625;35,265625;35,3828125;31,3125
14;2023/10/11;00:02:23;32,046875;31,3359375;35,25;35,265625;35,515625;35,2578125;35,3984375;31,2734375
15;2023/10/11;00:02:33;32,0546875;31,3203125;35,2265625;35,28125;35,546875;35,265625;35,4296875;31,2890625
16;2023/10/11;00:02:43;32,0546875;31,328125;35,234375;35,2890625;35,53125;35,265625;35,4140625;31,3046875
17;2023/10/11;00:02:53;32,0390625;31,34375;35,2578125;35,2578125;35,53125;35,2578125;35,4140625;31,2734375
18;2023/10/11;00:03:03;32,046875;31,3125;35,234375;35,296875;35,53125;35,265625;35,3828125;31,265625
19;2023/10/11;00:03:13;32,046875;31,3125;35,2421875;35,2578125;35,5390625;35,25;35,3828125;31,2890625
20;2023/10/11;00:03:23;32,0625;31,3125;35,234375;35,2890625;35,546875;35,265625;35,4140625;31,296875
21;2023/10/11;00:03:33;32,0546875;31,3046875;35,21875;35,2734375;35,53125;35,265625;35,40625;31,2734375
22;2023/10/11;00:03:43;32,046875;31,3359375;35,2421875;35,296875;35,53125;35,2734375;35,4140625;31,28125
23;2023/10/11;00:03:53;32,0546875;31,328125;35,21875;35,265625;35,53125;35,28125;35,40625;31,28125
24;2023/10/11;00:04:03;32,0625;31,3203125;35,21875;35,2890625;35,53125;35,2578125;35,421875;31,28125
25;2023/10/11;00:04:13;32,0625;31,328125;35,234375;35,265625;35,5625;35,265625;35,4296875;31,3046875
26;2023/10/11;00:04:23;32,046875;31,3125;35,2265625;35,2734375;35,5390625;35,265625;35,390625;31,265625
27;2023/10/11;00:04:33;32,0625;31,3203125;35,2578125;35,3046875;35,53125;35,265625;35,40625;31,28125
28;2023/10/11;00:04:43;32,046875;31,3046875;35,2578125;35,28125;35,53125;35,265625;35,421875;31,3125
29;2023/10/11;00:04:53;32,0625;31,3046875;35,2265625;35,265625;35,546875;35,2734375;35,40625;31,2734375
30;2023/10/11;00:05:03;32,0546875;31,328125;35,265625;35,2734375;35,5390625;35,2734375;35,4140625;31,3046875
31;2023/10/11;00:05:13;32,0546875;31,3359375;35,25;35,2578125;35,53125;35,265625;35,4140625;31,2890625
32;2023/10/11;00:05:23;32,0625;31,34375;35,234375;35,2578125;35,53125;35,265625;35,40625;31,2890625
33;2023/10/11;00:05:33;32,0625;31,34375;35,2578125;35,2890625;35,5390625;35,2734375;35,40625;31,3046875
34;2023/10/11;00:05:43;32,0546875;31,328125;35,2421875;35,2890625;35,53125;35,2734375;35,3984375;31,28125
35;2023/10/11;00:05:53;32,0546875;31,3203125;35,25;35,2890625;35,546875;35,2734375;35,40625;31,2734375
36;2023/10/11;00:06:03;32,0625;31,34375;35,2265625;35,28125;35,5390625;35,265625;35,421875;31,296875
37;2023/10/11;00:06:13;32,0703125;31,3125;35,2421875;35,2890625;35,5390625;35,28125;35,4140625;31,2890625
